Sample_ID	Picogreen	Negative	Exp_ID	Replicate	Treatment	CopyNum	CopyNum_norm	HH	Tot	HH_norm
01	116.4606637	FALSE	1.564	1	CL	2023472874	598438713	4797	79	60.72151899
02	106.200003	FALSE	1.44	1	CL	1327310812	448792233	7083	79	89.65822785
03	135.1636402	FALSE	1.43	1	CL	642972176	207187203	6177	79	78.18987342
04	48.9567727	FALSE	1.158	1	CL	588598421	380415245	6702	79	84.83544304
05	112.4213403	FALSE	1.244	1	CL	1250272782	319229290	3509	79	44.41772152
06	82.24980259	FALSE	1.242	1	CL	4987766509	1133196670	2336	79	29.56962025
07	79.90760114	FALSE	1.347	1	CL	677287861	293514093	4112	79	52.05063291
08	66.13147355	FALSE	1.353	1	CL	653826110	566507378	5260	79	66.58227848
09	135.4017568	FALSE	1.139	1	CL	1905303070	487281975	4123	79	52.18987342
10	81.70429911	FALSE	1.575	1	CL	4367851024	991095751	1763	79	22.3164557
11	147.7881493	FALSE	2.113	1	MD	297933439	38149180	3617	82	44.1097561
12	5.745104118	FALSE	2.665	1	MD	1649042	2454303	5257	82	64.1097561
13	140.4541581	FALSE	2.207	1	MD	112433629	165618068	23	82	0.280487805
14	2.645258942	FALSE	2.42	1	MD	1770092	2777208	2739	82	33.40243902
15	75.92023045	FALSE	2.394	1	MD	207119875	71683588	5374	82	65.53658537
16	39.44509692	FALSE	2.245	1	MD	54246290	92338209	3983	82	48.57317073
17	136.6269749	FALSE	2.217	1	MD	1460165347	562132923	66	82	0.804878049
18	141.5148593	FALSE	2.66	1	MD	813710937	353405798	3766	82	45.92682927
19	134.6311249	FALSE	2.140	1	MD	33989204	25573575	1057	82	12.8902439
20	95.99129503	FALSE	2.202	1	MD	23344380	23425919	4226	82	51.53658537
21	0.147199352	TRUE	blank1	1	blank	NA	NA	NA	NA	NA
22	141.5062005	FALSE	3.227	2	CL	1154146661	968122274	9972	90	110.8
23	126.5481487	FALSE	3.262	2	CL	1098908778	1307072786	11119	90	123.5444444
24	114.9626939	FALSE	3.604	2	CL	346984875	503554801	10433	90	115.9222222
25	142.5279372	FALSE	3.237	2	CL	1113466243	713689479	10365	90	115.1666667
26	141.08192	FALSE	3.929	2	CL	1496200296	950576125	8807	90	97.85555556
27	149.4463067	FALSE	3.238	2	CL	3327468093	1091012090	7173	90	79.7
28	146.6235427	FALSE	3.114	2	CL	600309227	822587689	6716	90	74.62222222
29	138.3544026	FALSE	3.217	2	CL	391956189	612302475	13586	90	150.9555556
30	46.26389043	FALSE	3.161	2	CL	4685988475	1517707340	8047	90	89.41111111
31	74.18847337	FALSE	3.66	2	CL	748643601	832274983	NA	90	NA
32	0.883196112	FALSE	4.604	2	MD	361007	83066	4841	89	54.39325843
33	30.30141953	FALSE	4.437	2	MD	7474893	2755389	5494	89	61.73033708
34	3.000269144	FALSE	4.114	2	MD	1233391	1293502	9607	89	107.9438202
35	0.684044047	FALSE	4.610	2	MD	205806	311044	9158	89	102.8988764
36	0.545503481	FALSE	4.390	2	MD	184731	405039	8995	89	101.0674157
37	2.788128901	FALSE	4.48	2	MD	105571	29076	6591	89	74.05617978
38	54.06112669	FALSE	4.262	2	MD	135636631	28091360	NA	89	NA
39	0.489221376	FALSE	4.353	2	MD	134762	298897	6847	89	76.93258427
40	1.069359998	FALSE	4.209	2	MD	458795	322374	5690	89	63.93258427
41	0.89618429	FALSE	4.576	2	MD	1146279	2982034	6848	89	76.94382022
42	0.116893603	TRUE	blank2	2	blank	NA	NA	NA	NA	NA
43	1.939567931	FALSE	5.191	3	MD	558568	3063674	7392	84	88
44	0.909172468	FALSE	5.607	3	MD	615909	616355	5931	84	70.60714286
45	0.186163886	FALSE	5.196	3	MD	246927	449109	5398	84	64.26190476
46	153.2345254	FALSE	5.7	3	MD	208608801	38200746	2963	84	35.27380952
47	0.930819431	FALSE	5.148	3	MD	370001	191146	5998	84	71.4047619
48	5.736445333	FALSE	5.25	3	MD	1490245	819643	6634	84	78.97619048
49	1.415711414	FALSE	5.54	3	MD	730727	200604	5604	84	66.71428571
50	37.71766924	FALSE	5.610	3	MD	207858340	230738249	6392	84	76.0952381
51	0.428609878	FALSE	5.212	3	MD	154052	201331	6270	84	74.64285714
52	0.450256841	FALSE	5.556	3	MD	264519	191313	NA	84	NA
53	156.637428	FALSE	6.170	3	CL	6511019698	804056115	5080	77	65.97402597
54	159.1095113	FALSE	6.124	3	CL	5154960241	1336482366	5508	77	71.53246753
55	58.3299079	FALSE	6.560	3	CL	209784813	373005583	10248	77	133.0909091
56	139.9432898	FALSE	6.229	3	CL	4088409370	1779453407	6501	77	84.42857143
57	148.9700735	FALSE	6.458	3	CL	475089037	800507819	10608	77	137.7662338
58	141.8958459	FALSE	6.263	3	CL	741745886	681405667	8709	77	113.1038961
59	154.5376726	FALSE	6.99	3	CL	971587838	812337214	11751	77	152.6103896
60	147.1214229	FALSE	6.518	3	CL	336295307	808092007	10042	77	130.4155844
61	150.1476684	FALSE	6.390	3	CL	1782107031	1262315080	6826	77	88.64935065
62	87.74380193	FALSE	6.600	3	CL	437169906	490808579	9193	77	119.3896104
63	0.428609878	TRUE	blank3	3	blank	NA	NA	NA	NA	NA
64	113.6811936	FALSE	7.63	4	CL	609953461	1301533897	NA	94	NA
65	148.4851816	FALSE	7.202	4	CL	819326487	818733762	8905	94	94.73404255
66	133.2630368	FALSE	7.237	4	CL	986790837	1409288246	9604	94	102.1702128
67	141.7702935	FALSE	7.217	4	CL	583411639	746617440	6220	94	66.17021277
68	136.6183162	FALSE	7.356	4	CL	862791418	1246872729	7136	94	75.91489362
69	136.4711168	FALSE	7.209	4	CL	190674463	443971543	8522	94	90.65957447
70	144.5194578	FALSE	7.82	4	CL	388472110	461173914	7496	94	79.74468085
71	132.3755113	FALSE	7.40	4	CL	221254698	450907070	7428	94	79.0212766
72	83.00744631	FALSE	7.85	4	CL	889030078	818583946	7356	94	78.25531915
73	137.4971829	FALSE	7.265	4	CL	178162872	410585422	5688	94	60.5106383
74	1.238206313	FALSE	8.356	4	MD	372196	780059	6343	89	71.26966292
75	0.311716275	FALSE	8.7	4	MD	309382	530219	2781	89	31.24719101
76	0.930819431	FALSE	8.9	4	MD	135116	93757	5629	89	63.24719101
77	0.428609878	FALSE	8.170	4	MD	330742	835006	5531	89	62.14606742
78	0.506538946	FALSE	8.669	4	MD	327895	646284	6606	89	74.2247191
79	0.757643723	FALSE	8.620	4	MD	81796	19679	NA	89	NA
80	0.212140242	FALSE	8.158	4	MD	82910	354869	5219	89	58.64044944
81	1.541263803	FALSE	8.70	4	MD	791540	590306	6177	89	69.40449438
82	1.147289067	FALSE	8.476	4	MD	519970	1649234	4016	89	45.12359551
83	0.822584614	FALSE	8.2	4	MD	652379	2273779	6087	89	68.39325843
84	0.298728097	TRUE	blank4	4	blank	NA	NA	NA	NA	NA
85	5.563269624	FALSE	9.175	5	MD	2671313	3415332	5926	95	62.37894737
86	0.766302509	FALSE	9.59	5	MD	899938	1353346	6829	95	71.88421053
87	2.246954813	FALSE	9.458	5	MD	485315	737990	5952	95	62.65263158
88	0.982772144	FALSE	9.394	5	MD	1013184	3041892	5421	95	57.06315789
89	1.926579753	FALSE	9.63	5	MD	1811056	1344904	5882	95	61.91578947
90	1.922250361	FALSE	9.614	5	MD	878776	1470173	4944	95	52.04210526
91	1.181924208	FALSE	9.250	5	MD	934327	768632	5873	95	61.82105263
