Sample_ID	Treatment	Picogreen	Negative	Hive	Box	HiveBox	Copy_num
H10B1_2	CL	9.340934117	FALSE	H10	B1	H10B1	815641072
H10B1_4	CL	9.459485572	FALSE	H10	B1	H10B1	875283597
H10B1_6	CL	12.02406805	FALSE	H10	B1	H10B1	1027467994
H10B2_1	MD	6.164722374	FALSE	H10	B2	H10B2	3846839
H10B2_2	MD	0.505221657	FALSE	H10	B2	H10B2	244209
H10B2_4	MD	6.292468153	FALSE	H10	B2	H10B2	2400728
H10B5_1	CL_Bifi	5.440833217	FALSE	H10	B5	H10B5	150350922
H10B5_4	CL_Bifi	6.865870085	FALSE	H10	B5	H10B5	143057044
H10B5_5	CL_Bifi	5.752938066	FALSE	H10	B5	H10B5	217462339
H10B6_1	CL_13	9.050604026	FALSE	H10	B6	H10B6	540025736
H10B6_2	CL_13	9.679652558	FALSE	H10	B6	H10B6	366761769
H10B6_3	CL_13	12.04100397	FALSE	H10	B6	H10B6	456914100
H1B1_1	MD	1.540732317	FALSE	H1	B1	H1B1	195731
H1B1_2	MD	1.985905125	FALSE	H1	B1	H1B1	438338
H1B1_6	MD	4.09929057	FALSE	H1	B1	H1B1	1814626
H1B3_1	CL_Bifi	8.024771035	FALSE	H1	B3	H1B3	157520877
H1B3_3	CL_Bifi	7.485240947	FALSE	H1	B3	H1B3	228813855
H1B3_5	CL_Bifi	7.794926379	FALSE	H1	B3	H1B3	185267083
H1B5_1	CL_13	11.26195156	FALSE	H1	B5	H1B5	350519222
H1B5_2	CL_13	12.81279813	FALSE	H1	B5	H1B5	338654436
H1B5_3	CL_13	11.42647194	FALSE	H1	B5	H1B5	837705061
H1B6_1	CL	12.50069328	FALSE	H1	B6	H1B6	395454858
H1B6_2	CL	15.12092236	FALSE	H1	B6	H1B6	776864199
H1B6_4	CL	11.02726807	FALSE	H1	B6	H1B6	676308463
H2B1_1	CL_Bifi	6.892483677	FALSE	H2	B1	H2B1	135956535
H2B1_3	CL_Bifi	5.172277883	FALSE	H2	B1	H2B1	203713325
H2B1_4	CL_Bifi	4.734363327	FALSE	H2	B1	H2B1	199059088
H2B2_2	MD	4.62790896	FALSE	H2	B2	H2B2	382344
H2B2_3	MD	6.986840956	FALSE	H2	B2	H2B2	184838
H2B3_1	CL	10.47564089	FALSE	H2	B3	H2B3	240531209
H2B3_2	CL	12.60472823	FALSE	H2	B3	H2B3	423479484
H2B3_3	CL	10.50709332	FALSE	H2	B3	H2B3	453673189
H2B4_1	CL_13	9.957885563	FALSE	H2	B4	H2B4	535744759
H2B4_2	CL_13	10.34983119	FALSE	H2	B4	H2B4	1789490118
H2B4_3	CL_13	10.80710108	FALSE	H2	B4	H2B4	578192528
H2B5_1	MD	6.169693329	FALSE	H2	B5	H2B5	1812987
H3B1_1	CL	11.42647194	FALSE	H3	B1	H3B1	1548302353
H3B1_2	CL	10.38370303	FALSE	H3	B1	H3B1	1115791630
