	Kingdom	Phylum	Class	Order	Family	Genus	Species	Blast	Annotated
ASV1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus kunkeei strain G1-6-12 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	melliventris	"Lactobacillus melliventris strain Dan2 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm5
ASV3	Bacteria	Proteobacteria	Gammaproteobacteria	Orbales	Orbaceae	Frischella	perrara	"Uncultured bacterium clone 16S_rRNA_OTU_4363685 16S ribosomal RNA gene, partial sequence"	Frischella
ASV4	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Bombella	intestini	"Acetobacteraceae bacterium strain IM_G(L)3 16S ribosomal RNA gene, partial sequence"	Bombella
ASV5	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	asteroides	"Uncultured bacterium clone 16S_rRNA_OTU_822770 16S ribosomal RNA gene, partial sequence"	Bifidobacterium
ASV6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Snodgrassella	alvi	"Uncultured bacterium clone 16S_rRNA_OTU_OTU77 16S ribosomal RNA gene, partial sequence"	Snodgrassella
ASV7	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Uncultured bacterium clone 16S_rRNA_OTU_837075 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm5
ASV8	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sycopsis sinensis chloroplast, complete genome"	Order_Chloroplast
ASV9	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus helsingborgensis strain 1 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm5
ASV10	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Bombella	apis	"Uncultured bacterium clone 16S_rRNA_OTU_4480690 16S ribosomal RNA gene, partial sequence"	Bombella
ASV11	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	apis	"Lactobacillus apis strain S1-6-15 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm5
ASV12	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Curvibacter		"Curvibacter sp. strain SRS-179-F-2019 16S ribosomal RNA gene, partial sequence"	Curvibacter
ASV13	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus	fructosus	"Fructobacillus fructosus strain Sp125 16S ribosomal RNA gene, partial sequence"	Fructobacillus
ASV14	Bacteria	Proteobacteria	Gammaproteobacteria	Orbales	Orbaceae	Gilliamella		"Gilliamella apicola strain LU6 16S ribosomal RNA gene, partial sequence"	Gilliamella
ASV15	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU6329 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm4
ASV16	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	mellis	"Uncultured bacterium clone denovo100898 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm4
ASV17	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV18	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	mellis	"Lactobacillus sp.A A85 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm4
ASV19	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus	fructosus	"Fructobacillus fructosus strain DPC7235 16S ribosomal RNA gene, partial sequence"	Fructobacillus
ASV20	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV21	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Family_Rhizobiaceae		"Uncultured bacterium clone 16S_rRNA_OTU_256276 16S ribosomal RNA gene, partial sequence"	Bartonella
ASV22	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Uncultured bacterium clone 1006 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV23	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus		"Staphylococcus aureus TPS3156 DNA, complete genome"	Staphylococcus
ASV24	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Snodgrassella	alvi	"Snodgrassella alvi strain IHP.IO2 16S ribosomal RNA gene, partial sequence"	Snodgrassella
ASV25	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Uncultured bacterium partial 16S rRNA gene, clone 119_11"	Lactobacillus Firm5
ASV26	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Lonsdalea		"Pectobacterium sp. strain 41-3 16S ribosomal RNA gene, partial sequence"	Lonsdalea
ASV27	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Commensalibacter		"Uncultured bacterium clone 16S_rRNA_OTU_104162 16S ribosomal RNA gene, partial sequence"	Commensalibacter
ASV28	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Uncultured bacterium clone 1666 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV29	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus		"Fructobacillus fructosus strain Sp125 16S ribosomal RNA gene, partial sequence"	Fructobacillus
ASV30	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	salmoneum	"Uncultured bacterium clone OTU62_L_2_F0_132964 16S ribosomal RNA gene, partial sequence"	Sediminibacterium
ASV31	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		"Acinetobacter johnsonii strain cqsV8 16S ribosomal RNA gene, partial sequence"	Acinetobacter
ASV32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium		"Bradyrhizobium sp. strain IC-1E 16S ribosomal RNA gene, partial sequence"	Bradyrhizobium
ASV33	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	nectaris	"Bacterium strain BH2S4 16S ribosomal RNA gene, partial sequence"	Acinetobacter
ASV34	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus sp.A A96 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm4
ASV35	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Cannabis sativa mitochondrion, complete genome"	Family_Mitochondria
ASV36	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV37	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Aliicoccus	persicus	"Uncultured Aliicoccus sp. clone OTU68 16S ribosomal RNA gene, partial sequence"	Aliicoccus
ASV38	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	asteroides	"Bifidobacterium sp. strain IHP.IC3 16S ribosomal RNA gene, partial sequence"	Bifidobacterium
ASV39	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus		"Fructobacillus sp. B7_2BO2 16S ribosomal RNA gene, partial sequence"	Fructobacillus
ASV40	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium		"Sphingobium sp. strain RC42 16S ribosomal RNA gene, partial sequence"	Sphingobium
ASV41	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus melliventris strain Dan2 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm5
ASV42	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium		"Bradyrhizobium sp. SO-263 gene for 16S ribosomal RNA, partial sequence"	Bradyrhizobium
ASV43	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus kunkeei strain G1-6-12 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV44	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	mellifer	"Uncultured bacterium clone 16S_rRNA_OTU_826331 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm4
ASV45	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Family_Comamonadaceae		"Uncultured bacterium clone OTU_15 16S ribosomal RNA gene, partial sequence"	Family_Comamonadaceae
ASV46	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Teesdalia nudicaulis chloroplast, complete genome"	Order_Chloroplast
ASV47	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		"Sphingomonas sp. strain HM7 16S ribosomal RNA gene, partial sequence"	Sphingomonas
ASV48	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus kunkeei strain G1-6-12 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV49	Bacteria	Proteobacteria	Gammaproteobacteria	Orbales	Orbaceae	Gilliamella		"Gilliamella apicola strain LU6 16S ribosomal RNA gene, partial sequence"	Gilliamella
ASV50	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		"Bifidobacterium coryneforme strain S1-3-4 16S ribosomal RNA gene, partial sequence"	Bifidobacterium
ASV51	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Family_Comamonadaceae		"Uncultured bacterium clone MPG-bac60 16S ribosomal RNA gene, partial sequence"	Family_Comamonadaceae
ASV52	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia		"Uncultured bacterium clone 16S(V3-V4)-69 16S ribosomal RNA gene, partial sequence"	Ralstonia
ASV53	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Uncultured bacterium clone A1192 16S ribosomal RNA gene, partial sequence"	Order_Chloroplast
ASV54	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Mirabilis himalaica mitochondrion, complete genome"	Family_Mitochondria
ASV55	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		"Acinetobacter junii strain DKD 16S ribosomal RNA gene, partial sequence"	Acinetobacter
ASV56	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga		"Hydrogenophaga sp. Ri2Pw_6039 gene for 16S rRNA, partial sequence"	Hydrogenophaga
ASV57	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Prosopis cineraria chloroplast, complete genome"	Order_Chloroplast
ASV58	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Libidibia coriaria mitochondrion, complete genome"	Family_Mitochondria
ASV59	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus	fructosus	"Fructobacillus fructosus strain Montana 14 16S ribosomal RNA gene, partial sequence"	Fructobacillus
ASV60	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Aliicoccus		"Uncultured Aliicoccus sp. clone OTU68 16S ribosomal RNA gene, partial sequence"	Aliicoccus
ASV61	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	lwoffii	"Acinetobacter lwoffii strain IBGE-BCL-CM01 16S ribosomal RNA gene, partial sequence"	Acinetobacter
ASV62	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Rosa rugosa chloroplast, complete genome"	Order_Chloroplast
ASV63	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Bartonella		"Uncultured bacterium clone 16S_rRNA_OTU_843074 16S ribosomal RNA gene, partial sequence"	Bartonella
ASV64	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter		"Uncultured bacterium clone A494_Bac19 16S ribosomal RNA gene, partial sequence"	Limnobacter
ASV65	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		"Acinetobacter johnsonii strain cqsV8 16S ribosomal RNA gene, partial sequence"	Acinetobacter
ASV66	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella		"Shigella sonnei strain SE6-1 chromosome, complete genome"	Escherichia-Shigella
ASV67	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter		"Uncultured bacterium clone ASV29 16S ribosomal RNA gene, partial sequence"	Caulobacter
ASV68	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Paraprenanthes diversifolia mitochondrion, complete genome"	Family_Mitochondria
ASV69	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Gynoxys mandonii isolate SEN04 voucher B:DB27409 plastid, complete genome"	Order_Chloroplast
ASV70	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Uncultured Lactobacillus sp. clone SHOG722 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm5
ASV71	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		"Uncultured Sphingomonas sp. clone OTU114 16S ribosomal RNA gene, partial sequence"	Sphingomonas
