	Kingdom	Phylum	Class	Order	Family	Genus	Species	Blast	Annotated
ASV1	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	asteroides	"Bifidobacterium sp. strain IHP.IC3 16S ribosomal RNA gene, partial sequence"	Bifidobacterium
ASV2	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Sycopsis sinensis chloroplast, complete genome"	Order_Chloroplast
ASV3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	apis	"Lactobacillus apis strain S1-6-15 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm5
ASV4	Bacteria	Proteobacteria	Gammaproteobacteria	Orbales	Orbaceae	Frischella	perrara	"Uncultured bacterium clone 16S_rRNA_OTU_4363685 16S ribosomal RNA gene, partial sequence"	Frischella
ASV5	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Snodgrassella	alvi	"Uncultured bacterium clone 16S_rRNA_OTU_OTU77 16S ribosomal RNA gene, partial sequence"	Snodgrassella
ASV6	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		"Bifidobacterium coryneforme strain S1-3-4 16S ribosomal RNA gene, partial sequence"	Bifidobacterium
ASV7	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus kunkeei strain G1-6-12 16S ribosomal RNA gene, partial sequence"	Lactobacillus kunkeei
ASV8	Bacteria	Proteobacteria	Gammaproteobacteria	Orbales	Orbaceae	Gilliamella		"Gilliamella apicola strain LU6 16S ribosomal RNA gene, partial sequence"	Gilliamella
ASV9	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Uncultured bacterium clone 16S_rRNA_OTU_837075 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm5
ASV10	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria		"Rotheca serrata mitochondrion, complete genome"	Family_Mitochondria
ASV11	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	melliventris	"Lactobacillus melliventris strain Dan2 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm5
ASV12	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Lactobacillus helsingborgensis strain 1 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm5
ASV13	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	asteroides	"Uncultured bacterium clone 16S_rRNA_OTU_822770 16S ribosomal RNA gene, partial sequence"	Bifidobacterium
ASV14	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus		"Staphylococcus aureus TPS3156 DNA, complete genome"	Staphylococcus
ASV15	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Snodgrassella	alvi	"Snodgrassella alvi strain IHP.IO2 16S ribosomal RNA gene, partial sequence"	Snodgrassella
ASV16	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU6329 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm4
ASV17	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus		"Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence"	Arsenophonus
ASV18	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	mellis	"Uncultured bacterium clone denovo100898 16S ribosomal RNA gene, partial sequence"	Lactobacillus Firm4
ASV19	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		"Uncultured bacterium partial 16S rRNA gene, clone 119_11"	Lactobacillus Firm5
ASV20	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast		"Teesdalia nudicaulis chloroplast, complete genome"	Order_Chloroplast
ASV21	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Family_Rhizobiaceae		"Uncultured bacterium clone 16S_rRNA_OTU_256276 16S ribosomal RNA gene, partial sequence"	Bartonella
