"","Target","Bee_ID","Ct","SD","Replicate","Exp_ID","Gut_dissection_batch","DNA_Plate","Plate_Well","Robot_DNAextraction_Batch","Treatment","actin_Ct","actin_CopyNum","CopyNum","CopyNum_norm"
"1","univ",1,15.9623753333333,0.0900109416922925,1,"1.564","1","1","A1","1","CL",22.3567313333333,9046834,2023472874,598438713
"2","univ",2,16.5668356666667,0.089184877498,1,"1.44","1","1","B1","1","CL",22.5540123333333,7913092,1327310812,448792233
"3","univ",3,17.6058666666667,0.0871536047581129,1,"1.43","1","1","C1","1","CL",22.4831003333333,8303251,642972176,207187203
"4","univ",4,17.732529,0.0643479866895628,1,"1.158","1","1","D1","1","CL",23.5085746666667,4139807,588598421,380415245
"5","univ",5,16.6525506666667,0.0681558054044794,1,"1.244","1","1","E1","1","CL",22.140201,10479027,1250272782,319229290
"6","univ",6,14.6690885,0.117842880618644,1,"1.242","1","1","F1","1","CL",21.9682003333333,11776595,4987766509,1133196670
"7","univ",7,17.5313306666667,0.261835241648892,1,"1.347","1","1","G1","1","CL",22.9196766666667,6173952,677287861,293514093
"8","univ",8,17.5818695,0.0533222152624967,1,"1.353","1","1","H1","1","CL",23.940468,3087988,653826110,566507378
"9","univ",9,16.0486365,0.0576284955599231,1,"1.139","1","1","A2","1","CL",22.142638,10461709,1905303070,487281975
"10","univ",10,14.8593416666667,0.132553447644086,1,"1.575","1","1","B2","1","CL",21.9663296666667,11791556,4367851024,991095751
"11","univ",11,18.7085785,0.10046785279133,1,"2.113","1","1","C2","1","MD",21.1233305,20895509,297933439,38149180
"12","univ",12,26.1581393333333,0.327136668200515,1,"2.665","1","1","D2","1","MD",24.737569,1797722,1649042,2454303
"13","univ",13,20.105558,0.156395049435716,1,"2.207","1","1","E2","1","MD",24.7223543333333,1816383,112433629,165618068
"14","univ",14,26.0565926666667,0.36142227968034,1,"2.42","1","1","F2","1","MD",24.8153146666667,1705322,1770092,2777208
"15","univ",15,19.2297683333333,0.294830938916412,1,"2.394","1","1","G2","1","MD",22.5883633333333,7730738,207119875,71683588
"16","univ",16,21.1503513333333,0.198806556608009,1,"2.245","1","1","H2","1","MD",24.9354086666667,1571837,54246290,92338209
"17","univ",17,16.430085,0.275927502512888,1,"2.217","1","1","A3","1","MD",22.7452336666667,6949954,1460165347,562132923
"18","univ",18,17.2682663333333,0.280940793877167,1,"2.66","1","1","B3","1","MD",22.9228923333333,6160492,813710937,353405798
"19","univ",19,21.820512,0.267667739656836,1,"2.140","1","1","C3","1","MD",23.7325256666667,3556055,33989204,25573575
"20","univ",20,22.359068,0.269334410926269,1,"2.202","1","1","D3","1","MD",24.156817,2666273,23344380,23425919
"21","univ",22,16.7672333333333,0.113346514072262,2,"3.227","2","1","F3","1","CL",23.89272,3189699,1154146661,968122274
"22","univ",23,16.8375385,0.0886945248845729,2,"3.262","2","1","G3","1","CL",24.4072716666667,2249473,1098908778,1307072786
"23","univ",24,18.4900935,0.166415459631908,2,"3.604","2","1","H3","1","CL",24.700386,1843668,346984875,503554801
"24","univ",25,16.818673,0.1354081201701,2,"3.237","2","1","A4","1","CL",23.496339,4174329,1113466243,713689479
"25","univ",26,16.395137,0.0923764298942128,2,"3.929","2","1","B4","1","CL",23.4833283333333,4211354,1496200296,950576125
"26","univ",27,15.2493455,0.13130902215956,2,"3.238","2","1","C4","1","CL",22.5086973333333,8160246,3327468093,1091012090
"27","univ",28,17.7042875,0.119023748943225,2,"3.114","2","1","D4","1","CL",24.6158116666667,1952593,600309227,822587689
"28","univ",29,18.3153915,0.188248088607826,2,"3.217","2","1","E4","1","CL",24.8089226666667,1712736,391956189,612302475
"29","univ",30,14.7585566666667,0.224667825592214,2,"3.161","2","1","F4","1","CL",22.4906186666667,8260990,4685988475,1517707340
"30","univ",31,17.3877393333333,0.353502092950428,2,"3.66","2","1","G4","1","CL",24.3077113333333,2406729,748643601,832274983
"31","univ",32,28.3357386666667,0.491268208448637,2,"4.604","2","1","H4","1","MD",21.9868833333333,11628207,361007,83066
"32","univ",33,23.9915746666667,0.112841784354614,2,"4.437","2","1","A5","1","MD",22.6812526666667,7258401,7474893,2755389
"33","univ",34,26.5744733333333,0.130311266283208,2,"4.114","2","1","B5","1","MD",24.2217923333333,2551248,1233391,1293502
"34","univ",35,29.141325,0.166501840767602,2,"4.610","2","1","C5","1","MD",24.76019,1770333,205806,311044
"35","univ",36,29.2961916666667,0.125309096869833,2,"4.390","2","1","D5","1","MD",25.3084103333333,1220287,184731,405039
"36","univ",37,30.0982706666667,0.313211482851975,2,"4.48","2","1","E5","1","MD",22.2517966666667,9714648,105571,29076
"37","univ",38,19.8366053333333,0.150815954170417,2,"4.262","2","1","F5","1","MD",21.8318063333333,12918829,135636631,28091360
"38","univ",39,29.748319,0.203155242002269,2,"4.353","2","1","G5","1","MD",25.3253636666667,1206326,134762,298897
"39","univ",40,27.9921136666667,0.175689078844797,2,"4.209","2","1","H5","1","MD",23.6317346666667,3807830,458795,322374
"40","univ",41,26.6794736666667,0.313340996462852,2,"4.576","2","1","A6","1","MD",25.560363,1028482,1146279,2982034
"41","univ",43,27.710034,0.228680229735759,3,"5.191","3","1","C6","1","MD",26.6593743333333,487812,558568,3063674
"42","univ",44,27.5699463333333,0.130806836267579,3,"5.607","3","1","D6","1","MD",24.1527476666667,2673648,615909,616355
"43","univ",45,28.880198,0.0721927896399635,3,"5.196","3","1","E6","1","MD",25.0330213333333,1471077,246927,449109
"44","univ",46,19.2195,0.00479418397644417,3,"5.7","3","1","F6","1","MD",21.6504496666667,14610992,208608801,38200746
"45","univ",47,28.3004596666667,0.293742957739132,3,"5.148","3","1","G6","1","MD",23.1785533333333,5179132,370001,191146
"46","univ",48,26.3032893333333,0.293965704709468,3,"5.25","3","1","H6","1","MD",23.270849,4864654,1490245,819643
"47","univ",49,27.324898,0.189475853271598,3,"5.54","3","1","A7","1","MD",22.2470256666667,9746157,730727,200604
"48","univ",50,19.2246663333333,0.345364224227602,3,"5.610","3","1","B7","1","MD",24.3055416666667,2410276,207858340,230738249
"49","univ",51,29.55654,0.199988283344302,3,"5.212","3","1","C7","1","MD",24.546047,2047272,154052,201331
"50","univ",52,28.781542,0.17326325187702,3,"5.556","3","1","D7","1","MD",23.6742966666667,3699406,264519,191313
"51","univ",53,14.287043,0.0947437145091959,3,"6.170","3","1","E7","1","CL",21.0699696666667,21666141,6511019698,804056115
"52","univ",54,14.6218235,0.113111297151302,3,"6.124","3","1","F7","1","CL",22.1627276666667,10320031,5154960241,1336482366
"53","univ",55,19.2114413333333,0.153338427699431,3,"6.560","3","1","G7","1","CL",24.9996306666667,1504796,209784813,373005583
"54","univ",56,14.9541193333333,0.0626663338670242,3,"6.229","3","1","H7","1","CL",22.9260433333333,6147332,4088409370,1779453407
"55","univ",57,18.03965,0.0809920107171083,3,"6.458","3","1","A8","1","CL",24.920411,1587919,475089037,800507819
"56","univ",58,17.4010085,0.0924393623977378,3,"6.263","3","1","B8","1","CL",24.0266646666667,2912516,741745886,681405667
"57","univ",59,17.0140645,0.0585067221821552,3,"6.99","3","1","C8","1","CL",23.8879196666667,3200108,971587838,812337214
"58","univ",60,18.5349506666667,0.302547061663691,3,"6.518","3","1","D8","1","CL",25.4433773333333,1113471,336295307,808092007
"59","univ",61,16.14446,0.0981713375532789,3,"6.390","3","1","E8","1","CL",23.643584,3777330,1782107031,1262315080
"60","univ",62,18.158891,0.165472903041555,3,"6.600","3","1","F8","1","CL",24.322198,2383181,437169906,490808579
"61","univ",64,17.6814403333333,0.23433870466983,4,"7.63","4","1","H8","1","CL",25.268383,1253892,609953461,1301533897
"62","univ",65,17.2584073333333,0.423044246292669,4,"7.202","4","1","A9","1","CL",24.1506136666667,2677523,819326487,818733762
"63","univ",66,16.991807,0.119086681446753,4,"7.237","4","1","B9","1","CL",24.6767686666667,1873459,986790837,1409288246
"64","univ",67,17.7452173333333,0.254940566566667,4,"7.217","4","1","C9","1","CL",24.5151053333333,2090720,583411639,746617440
"65","univ",68,17.184308,0.0528788593106942,4,"7.356","4","1","D9","1","CL",24.694212,1851410,862791418,1246872729
"66","univ",69,19.348364,0.11514102560773,4,"7.209","4","1","E9","1","CL",25.3969763333333,1149096,190674463,443971543
"67","univ",70,18.328191,0.247282517734271,4,"7.82","4","1","F9","1","CL",24.404445,2253793,388472110,461173914
"68","univ",71,19.1351316666667,0.216571930677393,4,"7.40","4","1","G9","1","CL",25.2006533333333,1312878,221254698,450907070
"69","univ",72,17.1413623333333,0.262149760397246,4,"7.85","4","1","H9","1","CL",24.030044,2905843,889030078,818583946
"70","univ",73,19.4456565,0.041331098467136,4,"7.265","4","1","A10","1","CL",25.3817903333333,1161001,178162872,410585422
"71","univ",74,28.291983,0.212636908597733,4,"8.356","4","1","B10","1","MD",25.241911,1276624,372196,780059
"72","univ",75,28.5569623333333,0.486237905314191,4,"8.7","4","1","C10","1","MD",24.945414,1561200,309382,530219
"73","univ",76,29.744558,0.114958592058183,4,"8.9","4","1","D10","1","MD",23.613264,3855866,135116,93757
"74","univ",77,28.4612573333333,0.513074990760936,4,"8.170","4","1","E10","1","MD",25.516184,1059787,330742,835006
"75","univ",78,28.47365,0.130786470248264,4,"8.669","4","1","F10","1","MD",25.15144,1357470,327895,646284
"76","univ",79,30.4640385,0.132536559531701,4,"8.620","4","1","G10","1","MD",22.0525603333333,11121256,81796,19679
"77","univ",80,30.4446555,0.214452051705036,4,"8.158","4","1","H10","1","MD",26.2939736666667,625112,82910,354869
"78","univ",81,27.2103026666667,0.214643970819898,4,"8.70","4","1","A11","1","MD",23.719477,3587688,791540,590306
"79","univ",82,27.8126836666667,0.161689962163187,4,"8.476","4","1","B11","1","MD",25.8524026666667,843558,519970,1649234
"80","univ",83,27.487482,0.216790532330172,4,"8.2","4","1","C11","1","MD",25.9913116666667,767663,652379,2273779
"81","univ",85,25.466642,0.449197616195812,5,"9.175","5","1","E11","1","MD",24.513698,2092718,2671313,3415332
"82","univ",86,27.0263165,0.225403721532057,5,"9.59","5","1","F11","1","MD",24.7528356666667,1779191,899938,1353346
"83","univ",87,27.9115575,0.276538855520341,5,"9.458","5","1","G11","1","MD",24.769224,1759511,485315,737990
"84","univ",88,26.8564045,0.185409761988142,5,"9.394","5","1","H11","1","MD",25.771495,891176,1013184,3041892
"85","univ",89,26.023796,0.218954663974075,5,"9.63","5","1","A12","1","MD",23.7132186666667,3602960,1811056,1344904
"86","univ",90,27.0604276666667,0.153793982929546,5,"9.614","5","1","B12","1","MD",24.9098926666667,1599295,878776,1470173
"87","univ",91,26.9725576666667,0.0921554784390672,5,"9.250","5","1","C12","1","MD",23.864054,3252365,934327,768632
