"","Sample_ID","Target","Ct","SD"
"1","1","actin_0113/0114",22.3567313333333,0.361352170832463
"3","10","actin_0113/0114",21.9663296666667,0.0337917023296169
"5","11","actin_0113/0114",21.1233305,0.0284023580799203
"7","12","actin_0113/0114",24.737569,0.0571512525409552
"9","13","actin_0113/0114",24.7223543333333,0.185921911501398
"11","14","actin_0113/0114",24.8153146666667,0.127908662342835
"13","2","actin_0113/0114",22.5540123333333,0.45861486373354
"15","3","actin_0113/0114",22.4831003333333,0.334734169611251
"17","4","actin_0113/0114",23.5085746666667,0.363078179992041
"19","5","actin_0113/0114",22.140201,0.497231728715094
"21","6","actin_0113/0114",21.9682003333333,0.438020521031073
"23","7","actin_0113/0114",22.9196766666667,0.372813657451458
"25","8","actin_0113/0114",23.940468,0.458066326074074
"27","9","actin_0113/0114",22.142638,0.0318726355985806
"2","1","UV_0356/0772",15.9623753333333,0.0900109416922925
"4","10","UV_0356/0772",14.8593416666667,0.132553447644086
"6","11","UV_0356/0772",18.7085785,0.10046785279133
"8","12","UV_0356/0772",26.1581393333333,0.327136668200515
"10","13","UV_0356/0772",20.105558,0.156395049435716
"12","14","UV_0356/0772",26.0565926666667,0.36142227968034
"14","2","UV_0356/0772",16.5668356666667,0.089184877498
"16","3","UV_0356/0772",17.6058666666667,0.0871536047581129
"18","4","UV_0356/0772",17.732529,0.0643479866895628
"20","5","UV_0356/0772",16.6525506666667,0.0681558054044794
"22","6","UV_0356/0772",14.6690885,0.117842880618644
"24","7","UV_0356/0772",17.5313306666667,0.261835241648892
"26","8","UV_0356/0772",17.5818695,0.0533222152624967
"28","9","UV_0356/0772",16.0486365,0.0576284955599231
"110","134","actin_0113/0114",25.458936,0.059928713919121
"31","135","actin_0113/0114",24.0977895,0.173674617847571
"51","136","actin_0113/0114",25.314173,0.171469151797051
"71","137","actin_0113/0114",23.7765945,0.089992772934832
"91","138","actin_0113/0114",23.6827666666667,0.332479732802367
"111","139","actin_0113/0114",25.2798813333333,0.208073929050069
"131","140","actin_0113/0114",24.1896805,0.0474716137549591
"151","141","actin_0113/0114",24.781579,0.215213605708376
"171","142","actin_0113/0114",25.1757183333333,0.0464370620230588
"191","143","actin_0113/0114",23.5965183333333,0.138392686477044
"211","144","actin_0113/0114",24.2701075,0.116336743174718
"231","145","actin_0113/0114",23.1547755,0.0363474098733325
"251","146","actin_0113/0114",25.957614,0.00409839090375732
"271","147","actin_0113/0114",37.7890225,0.647685062829536
"29","148","actin_0113/0114",22.713225,0.265136646556073
"210","134","UV_0356/0772",21.6709166666667,0.15601642410443
"41","135","UV_0356/0772",21.4254465,0.020426193588134
"61","136","UV_0356/0772",24.1054145,0.0670938269328866
"81","137","UV_0356/0772",16.055621,0.189799617199297
"101","138","UV_0356/0772",17.7912923333333,0.207322108358789
"121","139","UV_0356/0772",18.1635945,0.251838201439934
"141","140","UV_0356/0772",18.498245,0.235680104383038
"161","141","UV_0356/0772",18.741409,0.0258546523473039
"181","142","UV_0356/0772",18.036676,0.217974150582127
"201","143","UV_0356/0772",17.1176825,0.228991581339795
"221","144","UV_0356/0772",16.729813,0.0934368755203217
"241","145","UV_0356/0772",17.425718,0.144607579393338
"261","146","UV_0356/0772",18.432008,0.00210293556725007
"281","147","UV_0356/0772",NA,0.300614138560271
"30","148","UV_0356/0772",26.6985565,0.275809121322155
"112","149","actin_0113/0114",25.8145826666667,0.335819787821284
"32","150","actin_0113/0114",26.0241656666667,0.36459299576697
"52","151","actin_0113/0114",24.9800613333333,0.182305409021053
"72","152","actin_0113/0114",26.4193173333333,0.228810709439775
"92","153","actin_0113/0114",23.4479243333333,0.00709820655752732
"113","154","actin_0113/0114",23.56037,0.0218637416742868
"132","155","actin_0113/0114",24.8580143333333,0.0846709700330246
"152","156","actin_0113/0114",25.608302,0.0900692687158063
"172","157","actin_0113/0114",24.997284,0.1675772911107
"192","158","actin_0113/0114",23.6317,0.0348787490888081
"212","159","actin_0113/0114",24.1145943333333,0.128881866142345
"232","160","actin_0113/0114",22.9928303333333,0.306187241171694
"252","161","actin_0113/0114",24.9191673333333,0.24197840239644
"272","162","actin_0113/0114",22.7745685,0.011984752834331
"291","163","actin_0113/0114",24.2673423333333,0.309154811407382
"213","149","UV_0356/0772",28.2580956666667,0.175771118407814
"42","150","UV_0356/0772",28.3093335,0.0382212428434762
"62","151","UV_0356/0772",28.0366485,0.0855252722912952
"82","152","UV_0356/0772",27.6992,0.178938841965628
"102","153","UV_0356/0772",27.0507935,0.338629901976333
"122","154","UV_0356/0772",27.436627,0.309722669654644
"142","155","UV_0356/0772",27.5886846666667,0.0713128453529479
"162","156","UV_0356/0772",28.66705,0.00867337177803443
"182","157","UV_0356/0772",27.876766,0.137854976852488
"202","158","UV_0356/0772",16.5683536666667,0.188967711687297
"222","159","UV_0356/0772",16.986853,0.480136567323298
"242","160","UV_0356/0772",16.571455,0.0429722933062689
"262","161","UV_0356/0772",18.788838,0.136842132722345
"282","162","UV_0356/0772",16.804963,0.241172909859297
"301","163","UV_0356/0772",18.7347245,0.527810664428543
"114","164","actin_0113/0114",24.64372,0.19631602499032
"33","165","actin_0113/0114",23.0743446666667,0.29344944700124
"53","166","actin_0113/0114",22.9632983333333,0.0147887660855579
"73","167","actin_0113/0114",24.4771886666667,0.0600549109926353
"93","168","actin_0113/0114",NA,0
"115","169","actin_0113/0114",23.3186733333333,0.139378611922106
"133","170","actin_0113/0114",24.3035873333333,0.174664032789619
"153","171","actin_0113/0114",24.365595,0.108665337311398
"173","172","actin_0113/0114",26.0344283333333,0.161225486584267
"193","173","actin_0113/0114",23.630246,0.0172352595570825
"214","174","actin_0113/0114",24.0516853333333,0.0731553047723354
"233","175","actin_0113/0114",23.541195,0.0791634325809593
"253","176","actin_0113/0114",26.072195,0.0740133636514374
"273","177","actin_0113/0114",24.5697063333333,0.0981776473151264
"292","178","actin_0113/0114",24.793239,0.0542082200593223
"215","164","UV_0356/0772",16.851969,0.0725845110887995
"43","165","UV_0356/0772",16.2491875,0.433609899038871
"63","166","UV_0356/0772",16.5755375,0.103374061662005
"83","167","UV_0356/0772",19.04816,0.0777888169983314
"103","168","UV_0356/0772",NA,0.331152932622275
"123","169","UV_0356/0772",29.478935,2.7941564874892
"143","170","UV_0356/0772",21.2022423333333,0.199609879939177
"163","171","UV_0356/0772",26.9327235,0.0258143472607775
"183","172","UV_0356/0772",28.050934,0.1855754822195
"203","173","UV_0356/0772",27.7798855,0.257497884116549
"223","174","UV_0356/0772",27.4013046666667,0.0771588773008875
"243","175","UV_0356/0772",27.6239795,0.254000533976802
"263","176","UV_0356/0772",28.755805,0.0871325260049314
"283","177","UV_0356/0772",27.7679716666667,0.105776025380675
"302","178","UV_0356/0772",26.8953436666667,0.340819911572569
"116","179","actin_0113/0114",25.0760453333333,0.0920324919272164
"34","180","actin_0113/0114",24.7963273333333,0.0522290425561612
"54","181","actin_0113/0114",24.2749793333333,0.0385829152000389
"74","182","actin_0113/0114",25.758915,0.181517755597076
"94","183","actin_0113/0114",25.3203696666667,0.0862505150380752
"117","184","actin_0113/0114",23.3363146666667,0.0579350844077513
"134","185","actin_0113/0114",23.8044903333333,0.0623919716817257
"154","186","actin_0113/0114",22.5689706666667,0.0629550471474144
"174","187","actin_0113/0114",23.93436,0.0736467541104156
"194","188","actin_0113/0114",24.0730356666667,0.0985098793235138
"216","189","actin_0113/0114",NA,0
"217","179","UV_0356/0772",18.6497516666667,0.153319713945511
"44","180","UV_0356/0772",17.793009,0.13364382028736
"64","181","UV_0356/0772",18.312321,0.13414674283038
"84","182","UV_0356/0772",18.3910243333333,0.182413978963601
"104","183","UV_0356/0772",18.3525153333333,0.178685922927166
"124","184","UV_0356/0772",17.833704,0.176013019972954
"144","185","UV_0356/0772",16.90167,0.0908773635180963
"164","186","UV_0356/0772",15.945188,0.0173608856916921
"184","187","UV_0356/0772",16.865182,0.173179965735068
"204","188","UV_0356/0772",18.0375626666667,0.19325243466858
"224","189","UV_0356/0772",NA,0.229885416110578
"118","15","actin_0113/0114",22.5883633333333,0.0558058757599349
"35","16","actin_0113/0114",24.9354086666667,0.155290467657655
"55","17","actin_0113/0114",22.7452336666667,0.206465080171765
"75","18","actin_0113/0114",22.9228923333333,0.0846146285953744
"95","19","actin_0113/0114",23.7325256666667,0.160685047426116
"119","20","actin_0113/0114",24.156817,0.130296050872618
"135","21","actin_0113/0114",NA,0
"155","22","actin_0113/0114",23.89272,0.19266754723876
"175","23","actin_0113/0114",24.4072716666667,0.172133872635031
"195","24","actin_0113/0114",24.700386,0.00868892812722145
"218","25","actin_0113/0114",23.496339,0.157091898177467
"234","26","actin_0113/0114",23.4833283333333,0.0839692855771279
"254","27","actin_0113/0114",22.5086973333333,0.0614612073533639
"274","28","actin_0113/0114",24.6158116666667,0.194128599501293
"219","15","UV_0356/0772",19.2297683333333,0.294830938916412
"45","16","UV_0356/0772",21.1503513333333,0.198806556608009
