"","Target","Bee_ID","Hive","Box","HiveBox","Bee_num","Treatment","Ct","SD","actin_Ct","actin_CopyNum","CopyNum","CopyNum_norm"
"1","univ","H10B1_2","H10","B1","H10B1","2","CL",13.422735,0.0277101005411392,19.5897693333333,5514430,815641072,730692629
"2","univ","H10B1_4","H10","B1","H10B1","4","CL",13.3200321666667,0.0704821909710769,19.64612,5299901,875283597,815863117
"3","univ","H10B1_6","H10","B1","H10B1","6","CL",13.086747,0.0921675949507207,19.783741,4810399,1027467994,1055172513
"4","univ","H10B2_1","H10","B2","H10B2","1","MD",21.2181566666667,0.103473071749772,19.2062503333333,7224150,3846839,2630592
"5","univ","H10B2_2","H10","B2","H10B2","2","MD",25.2302813333333,0.0129447557077514,20.1356593333333,3754559,244209,321321
"6","univ","H10B2_4","H10","B2","H10B2","4","MD",21.904282,0.0297384348444895,19.3410993333333,6569734,2400728,1805225
"7","univ","H10B5_1","H10","B5","H10B5","1","CL_Bifi",15.8835823333333,0.060060072804929,19.4963753333333,5889277,150350922,126118960
"8","univ","H10B5_4","H10","B5","H10B5","4","CL_Bifi",15.9559503333333,0.0244936834578497,19.7280123333333,5002923,143057044,141260811
"9","univ","H10B5_5","H10","B5","H10B5","5","CL_Bifi",15.3465135,0.0268605106569111,19.69306,5127584,217462339,209511342
"10","univ","H10B6_1","H10","B6","H10B6","1","CL_13",14.0228223333333,0.0618165923060577,19.811647,4716795,540025736,565592607
"11","univ","H10B6_2","H10","B6","H10B6","2","CL_13",14.5858685,0.0167510233941092,19.425083,6192476,366761769,292587652
"12","univ","H10B6_3","H10","B6","H10B6","3","CL_13",14.2660273333333,0.121641046363197,20.0491103333333,3990497,456914100,565644852
"13","univ","H1B1_1","H1","B1","H1B1","1","MD",25.5523096666667,0.073662414414228,19.6665686666667,5224133,195731,185089
"14","univ","H1B1_2","H1","B1","H1B1","2","MD",24.379006,0.115270070733907,19.8859,4476507,438338,483733
"15","univ","H1B1_6","H1","B1","H1B1","6","MD",22.3115986666667,0.0758287979881872,19.503228,5860927,1814626,1529527
"16","univ","H1B3_1","H1","B3","H1B3","1","CL_Bifi",15.8157876666667,0.0611724245582377,20.8022206666667,2348087,157520877,331405876
"17","univ","H1B3_3","H1","B3","H1B3","3","CL_Bifi",15.2724653333333,0.0418912488036981,20.0961846666667,3860388,228813855,292811162
"18","univ","H1B3_5","H1","B3","H1B3","5","CL_Bifi",15.5796856666667,0.113634834986166,19.3677106666667,6447772,185267083,141946556
"19","univ","H1B5_1","H1","B5","H1B5","1","CL_13",14.6517873333333,0.0345374371419382,20.4079703333333,3099431,350519222,558683872
"20","univ","H1B5_2","H1","B5","H1B5","2","CL_13",14.7018996666667,0.125711997885378,19.3029876666667,6748433,338654436,247907746
"21","univ","H1B5_3","H1","B5","H1B5","3","CL_13",13.3838916666667,0.0491615758223167,19.743177,4949783,837705061,836067318
"22","univ","H1B6_1","H1","B6","H1B6","1","CL",14.4762523333333,0.0478551141920417,22.843469,557787,395454858,3502392341
"23","univ","H1B6_2","H1","B6","H1B6","2","CL",13.493619,0.0130062481523306,20.3583286666667,3209691,776864199,1195688772
"24","univ","H1B6_4","H1","B6","H1B6","4","CL",13.6953416666667,0.0353249226797929,20.0022995,4124226,676308463,810100003
"25","univ","H2B1_1","H2","B1","H2B1","1","CL_Bifi",16.030035,0.0235254426100751,21.592,1346441,135956535,498825938
"26","univ","H2B1_3","H2","B1","H2B1","3","CL_Bifi",15.4415593333333,0.0490274927906097,19.6446756666667,5305294,203713325,189690792
"27","univ","H2B1_4","H2","B1","H2B1","4","CL_Bifi",15.4751933333333,0.0721688777267136,19.5202003333333,5791298,199059088,169801829
"28","univ","H2B2_1","H2","B2","H2B2","1","MD",20.0565843333333,0.120408303602091,19.77595,4836862,8545809,8728221
"29","univ","H2B2_2","H2","B2","H2B2","2","MD",24.5778956666667,0.19214964867606,20.5936796666667,2719501,382344,694546
"30","univ","H2B2_3","H2","B2","H2B2","3","MD",25.6356366666667,0.0702866100785445,20.120364,3795216,184838,240597
"31","univ","H2B3_1","H2","B3","H2B3","1","CL",15.1997881666667,0.0659803546185024,19.71192,5059936,240531209,234834921
"32","univ","H2B3_2","H2","B3","H2B3","2","CL",14.376613,0.04654787557988,20.376194,3169565,423479484,660038062
"33","univ","H2B3_3","H2","B3","H2B3","3","CL",14.2763863333333,0.0533876943249405,19.6638913333333,5233991,453673189,428199751
"34","univ","H2B4_1","H2","B4","H2B4","1","CL_13",14.0344046666667,0.0828261899421512,19.4271843333333,6183319,535744759,428028361
"35","univ","H2B4_2","H2","B4","H2B4","2","CL_13",12.2793206666667,0.045435612159773,19.527069,5763355,1789490118,1533875819
"36","univ","H2B4_3","H2","B4","H2B4","3","CL_13",13.9234425,0.0488496396071656,19.813357,4711119,578192528,606295951
"37","univ","H2B5_1","H2","B5","H2B5","1","MD",22.3129133333333,0.0483802979872311,19.2275755,7116479,1812987,1258536
"38","univ","H2B5_2","H2","B5","H2B5","2","MD",22.8714803333333,0.0461931517904273,19.866501,4538076,1235097,1344515
"39","univ","H2B5_3","H2","B5","H2B5","3","MD",20.347564,0.00619425540319329,19.6156046666667,5415017,6997064,6383403
"40","univ","H3B1_1","H3","B1","H3B1","1","CL",12.490001,0.0331354736045828,20.072284,3925908,1548302353,1948282472
"41","univ","H3B1_2","H3","B1","H3B1","2","CL",12.9667366666667,0.0327162634531105,19.6227423333333,5387868,1115791630,1023063098
"42","univ","H3B1_3","H3","B1","H3B1","3","CL",13.5852723333333,0.0837719589262021,19.7277806666667,5003739,729445613,720169187
"43","univ","H3B2_1","H3","B2","H3B2","1","MD",21.7944063333333,0.123544097715485,19.7433606666667,4949143,2589008,2584281
"44","univ","H3B2_2","H3","B2","H3B2","2","MD",20.659672,0.0271387582619398,19.646659,5297890,5646420,5265099
"45","univ","H3B2_3","H3","B2","H3B2","3","MD",23.2920423333333,0.0263601411478274,20.1479186666667,3722287,925108,1227775
"46","univ","H3B3_1","H3","B3","H3B3","1","CL_Bifi",13.87467,0.0271382833465941,20.140186,3742611,597898823,789203998
"47","univ","H3B3_2","H3","B3","H3B3","2","CL_Bifi",14.905885,0.0392019999489828,19.7588225,4895551,294361653,297040674
"48","univ","H3B3_3","H3","B3","H3B3","3","CL_Bifi",17.954124,0.0290564318525169,20.227669,3519014,36240351,50875380
"49","univ","H3B3_4","H3","B3","H3B3","4","CL_Bifi",15.4267535,0.372592240676722,19.7036603333333,5089452,205796486,199757549
"50","univ","H3B3_5","H3","B3","H3B3","5","CL_Bifi",16.7476506666667,0.0386158173464371,19.9695646666667,4220397,83031210,97190615
"51","univ","H3B5_1","H3","B5","H3B5","1","CL_13",12.4770063333333,0.0451825907660603,21.07975,1931262,1562189752,3996031076
"52","univ","H3B5_2","H3","B5","H3B5","2","CL_13",12.9394051666667,0.0626012674718592,19.9972043333333,4139050,1136945546,1356985664
"53","univ","H3B5_3","H3","B5","H3B5","3","CL_13",12.714484,0.00483661038331627,20.0255636666667,4057214,1326976099,1615739911
"54","univ","H3B6_1","H3","B6","H3B6","1","MD",19.686411,0.168135626632193,19.0896383333333,7842391,11021085,6942440
"55","univ","H3B6_2","H3","B6","H3B6","2","MD",23.0016155,0.0978190307890034,19.6811915,5170616,1129444,1079093
"56","univ","H3B6_3","H3","B6","H3B6","3","MD",20.5354835,0.0256488842739781,19.426246,6187406,6149430,4909785
"57","univ","H4B1_1","H4","B1","H4B1","1","MD",16.449389,0.0343901979784927,19.5922835,5504676,101918231,91465304
"58","univ","H4B1_4","H4","B1","H4B1","4","MD",21.1006223333333,0.0880957554615037,19.476215,5973479,4170421,3448965
"59","univ","H4B1_5","H4","B1","H4B1","5","MD",19.7426966666667,0.0235063749934631,19.777958,4830028,10602956,10844601
"60","univ","H4B1_6","H4","B1","H4B1","6","MD",21.3788853333333,0.0675772042950386,20.1797636666667,3639747,3444591,4675227
"61","univ","H4B1_8","H4","B1","H4B1","8","MD",18.316989,0.067804029105946,20.0882573333333,3881997,28242442,35940434
"62","univ","H4B3_1","H4","B3","H4B3","1","CL_13",12.8181683333333,0.0838594241593234,19.972347,4212136,1235721171,1449286911
"63","univ","H4B3_3","H4","B3","H4B3","3","CL_13",12.579881,0.0831020173521675,19.623074,5386610,1455569010,1334914761
"64","univ","H4B3_4","H4","B3","H4B3","4","CL_13",13.8837556666667,0.0816515148808236,19.7764213333333,4835257,594177571,607061876
"65","univ","H4B4_1","H4","B4","H4B4","1","MD",22.8468473333333,0.100546920237934,20.2070123333333,3570574,1256181,1738003
"66","univ","H4B4_2","H4","B4","H4B4","2","MD",20.0778843333333,0.0845054465838343,19.437758,6137452,8421638,6778674
"67","univ","H4B4_3","H4","B4","H4B4","3","MD",21.37892,0.0432676022446365,19.9912216666667,4156524,3444509,4093863
"68","univ","H4B4_4","H4","B4","H4B4","4","MD",21.9491613333333,0.0366126489117257,19.4218863333333,6206430,2327821,1852866
"69","univ","H4B4_5","H4","B4","H4B4","5","MD",21.6311003333333,0.0945898460847333,19.3674836666667,6448802,2896469,2218841
"70","univ","H4B4_7","H4","B4","H4B4","7","MD",22.6318703333333,0.164365084480657,19.54346,5697217,1456157,1262646
