"","sample_ID","Treatment","Hive","Bee_ID","Target","Ct","SD"
"1","1","CL_Bifi","H1","H1B3_5","actin",20.1728273333333,0.0386700123394533
"2","1","CL_Bifi","H1","H1B3_5","VdV",NA,0
"3","10","CL_13","H3","H3B5_3","actin",23.115892,0.119036011731746
"4","10","CL_13","H3","H3B5_3","VdV",NA,0
"5","11","CL","H3","H3B1_3","VdV",NA,0
"6","11","CL","H3","H3B1_3","actin",23.256414,0.132806575902702
"7","12","MD","H3","H3B6_2","VdV",NA,0
"8","12","MD","H3","H3B6_2","actin",23.069112,0.0529668377761029
"9","13","CL_Bifi","H4","H4B5_3","VdV",NA,0
"10","13","CL_Bifi","H4","H4B5_3","actin",23.92325,0.0173552288374418
"11","14","CL_13","H4","H4B3_4","actin",25.0406696666667,0.03166309909553
"12","14","CL_13","H4","H4B3_4","VdV",NA,0
"13","15","CL","H4","H4B6_3","actin",21.1604156666667,0.192662289398661
"14","15","CL","H4","H4B6_3","VdV",NA,0
"15","16","MD","H4","H4B4_7","VdV",NA,0
"16","16","MD","H4","H4B4_7","actin",22.7779386666667,0.258664260355645
"17","17","CL_Bifi","H5","H5B2_3","VdV",NA,0
"18","17","CL_Bifi","H5","H5B2_3","actin",20.9117886666667,0.465844015056899
"19","18","CL_13","H5","H5B1_3","VdV",NA,0
"20","18","CL_13","H5","H5B1_3","actin",20.853376,0.408059170938481
"21","19","CL","H5","H5B4_4","VdV",NA,0
"22","19","CL","H5","H5B4_4","actin",24.9462833333333,0.532799040748324
"23","2","CL_13","H1","H1B5_3","actin",23.577785,0.0443599614179275
"24","2","CL_13","H1","H1B5_3","VdV",NA,0
"25","20","MD","H5","H5B5_6","VdV",NA,0
"26","20","MD","H5","H5B5_6","actin",25.384462,0.383608257220827
"27","21","CL_Bifi","H6","H6B5_4","VdV",NA,0
"28","21","CL_Bifi","H6","H6B5_4","actin",25.1273875,0.00759079129603786
"29","22","CL_13","H6","H6B2_5","VdV",NA,0
"30","22","CL_13","H6","H6B2_5","actin",28.115057,0.164041702167467
"31","23","CL","H6","H6B4_3","VdV",NA,0
"32","23","CL","H6","H6B4_3","actin",29.1148606666667,0.842175248060837
"33","24","MD","H6","H6B6_2","VdV",NA,0
"34","24","MD","H6","H6B6_2","actin",27.508568,0.437527183580632
"35","25","CL_Bifi","H7","H7B4_9","VdV",NA,0
"36","25","CL_Bifi","H7","H7B4_9","actin",27.8050393333333,0.482202106782346
"37","26","CL_13","H7","H7B1_3","VdV",NA,0
"38","26","CL_13","H7","H7B1_3","actin",28.200223,0.710395248114034
"39","27","CL","H7","H7B2_3","VdV",NA,0
"40","27","CL","H7","H7B2_3","actin",24.610595,0.0943068314068494
"41","28","MD","H7","H7B3_4","actin",22.1708056666667,0.294665530553429
"42","28","MD","H7","H7B3_4","VdV",NA,0
"43","29","CL_Bifi","H8","H8B1_3","actin",27.5984775,0.130278060472591
"44","29","CL_Bifi","H8","H8B1_3","VdV",NA,0
"45","3","CL","H1","H1B6_4","VdV",NA,0
"46","3","CL","H1","H1B6_4","actin",26.5092363333333,0.233970605133067
"47","30","CL_13","H8","H8B3_3","VdV",NA,0
"48","30","CL_13","H8","H8B3_3","actin",24.832079,0.0703344973110647
"49","31","CL","H8","H8B2_3","VdV",NA,0
"50","31","CL","H8","H8B2_3","actin",26.001955,0.146347062075053
"51","32","MD","H8","H8B5_4","VdV",NA,0
"52","32","MD","H8","H8B5_4","actin",25.8738596666667,0.138359068139149
"53","33","CL_Bifi","H9","H9B4_7","actin",25.5901395,0.470639666956048
"54","33","CL_Bifi","H9","H9B4_7","VdV",NA,0
"55","34","CL_13","H9","H9B1_3","VdV",NA,0
"56","34","CL_13","H9","H9B1_3","actin",25.765009,0.301821896119218
"57","35","CL","H9","H9B3_3","VdV",NA,0
"58","35","CL","H9","H9B3_3","actin",22.198274,0.427204515949914
"59","36","MD","H9","H9B5_3","VdV",NA,0
"60","36","MD","H9","H9B5_3","actin",21.1418603333333,0.394844135747682
"61","37","CL_Bifi","H10","H10B5_5","actin",20.476403,0.0802976318579828
"62","37","CL_Bifi","H10","H10B5_5","VdV",NA,0
"63","38","CL_13","H10","H10B6_3","VdV",NA,0
"64","38","CL_13","H10","H10B6_3","actin",22.8020235,0.224624489859187
"65","39","CL","H10","H10B1_6","VdV",NA,0
"66","39","CL","H10","H10B1_6","actin",33.5935626666667,0.830217812315739
"67","4","MD","H1","H1B1_6","VdV",NA,0
"68","4","MD","H1","H1B1_6","actin",28.361389,0.0897370136732869
"69","40","MD","H10","H10B2_4","VdV",NA,0
"70","40","MD","H10","H10B2_4","actin",30.0308495,0.621167144321478
"71","41","CL","H9","H9B3_5","actin",28.0853796666667,0.314073682454186
"72","41","CL","H9","H9B3_5","VdV",NA,0
"73","5","CL_Bifi","H2","H2B1_4","VdV",NA,0
"74","5","CL_Bifi","H2","H2B1_4","actin",27.858303,0.0627575502947665
"75","6","CL_13","H2","H2B4_3","VdV",NA,0
"76","6","CL_13","H2","H2B4_3","actin",23.5565885,0.0132080475657827
"77","7","CL","H2","H2B3_3","VdV",NA,0
"78","7","CL","H2","H2B3_3","actin",24.4027256666667,0.192009053724905
"79","8","MD","H2","H2B5_1","VdV",NA,0
"80","8","MD","H2","H2B5_1","actin",26.591326,0.0356493529955311
"81","9","CL_Bifi","H3","H3B3_4","VdV",NA,0
"82","9","CL_Bifi","H3","H3B3_4","actin",22.73741,0.0594636380656284
