"","Sample_ID","Target","Ct","SD"
"1","H1B1_1","actin_0113/0114",19.6665686666667,0.00868814078691915
"2","H1B3_1","actin_0113/0114",20.8022206666667,0.136586403409465
"3","H1B5_1","actin_0113/0114",20.4079703333333,0.0670146387316485
"4","H1B6_1","actin_0113/0114",22.843469,0.118821577148261
"5","H2B1_1","actin_0113/0114",21.592,0.00900571196519208
"6","H2B2_1","actin_0113/0114",19.77595,0.0766688010275376
"7","H2B3_1","actin_0113/0114",19.71192,0.0402830938732364
"8","H2B4_1","actin_0113/0114",19.4271843333333,0.0218407931708828
"10","H3B1_1","actin_0113/0114",20.072284,0.0288029785091765
"11","H3B2_1","actin_0113/0114",19.7433606666667,0.0389219856807602
"12","H3B3_1","actin_0113/0114",20.140186,0.0501886193872669
"13","H3B5_1","actin_0113/0114",21.07975,0.0234787735625166
"14","H4B3_1","actin_0113/0114",19.972347,0.0271669373871986
"15","H4B4_1","actin_0113/0114",20.2070123333333,0.0366284384370021
"16","H4B5_1","actin_0113/0114",20.058696,0.0407041181208978
"17","H4B6_1","actin_0113/0114",20.273654,0.0479210577095295
"18","H5B1_1","actin_0113/0114",19.8238286666667,0.0539487743913925
"19","H5B2_1","actin_0113/0114",20.2073613333333,0.0813811403725291
"20","H5B3_1","actin_0113/0114",19.632007,0.0447054534369123
"21","H5B4_2","actin_0113/0114",19.5314006666667,0.107024024150344
"22","H6B1_1","actin_0113/0114",19.921894,0.000140007142675665
"23","H6B2_1","actin_0113/0114",19.768179,0.0676503199696797
"24","H6B4_1","actin_0113/0114",19.7637393333333,0.086401298192408
"25","H6B5_1","actin_0113/0114",19.3975063333333,0.0660301253545169
"26","H7B1_1","actin_0113/0114",19.2495413333333,0.0497861012867389
"27","H7B2_1","actin_0113/0114",19.6410603333333,0.0472534623105381
"28","H7B3_1","actin_0113/0114",19.706092,0.0780444135348579
"29","N1","actin_0113/0114",NA,0
"30","N2","actin_0113/0114",NA,0
"31","N3","actin_0113/0114",NA,0
"110","H1B1_1","UV_0356/0772",25.5523096666667,0.073662414414228
"210","H1B3_1","UV_0356/0772",15.8157876666667,0.0611724245582377
"32","H1B5_1","UV_0356/0772",14.6517873333333,0.0345374371419382
"41","H1B6_1","UV_0356/0772",14.4762523333333,0.0478551141920417
"51","H2B1_1","UV_0356/0772",16.030035,0.0235254426100751
"61","H2B2_1","UV_0356/0772",20.0565843333333,0.120408303602091
"71","H2B3_1","UV_0356/0772",15.1997881666667,0.0659803546185024
"81","H2B4_1","UV_0356/0772",14.0344046666667,0.0828261899421512
"101","H3B1_1","UV_0356/0772",12.490001,0.0331354736045828
"111","H3B2_1","UV_0356/0772",21.7944063333333,0.123544097715485
"121","H3B3_1","UV_0356/0772",13.87467,0.0271382833465941
"131","H3B5_1","UV_0356/0772",12.4770063333333,0.0451825907660603
"141","H4B3_1","UV_0356/0772",12.8181683333333,0.0838594241593234
"151","H4B4_1","UV_0356/0772",22.8468473333333,0.100546920237934
"161","H4B5_1","UV_0356/0772",13.660944,0.0964668558417861
"171","H4B6_1","UV_0356/0772",13.0764453333333,0.0224689502721721
"181","H5B1_1","UV_0356/0772",12.8460565,0.0584861872987967
"191","H5B2_1","UV_0356/0772",15.5988315,0.0362885188696097
"201","H5B3_1","UV_0356/0772",20.8065263333333,0.0529380770366043
"211","H5B4_2","UV_0356/0772",13.363365,0.0711942445075442
"221","H6B1_1","UV_0356/0772",23.81789,0.0650546710467432
"231","H6B2_1","UV_0356/0772",13.4333973333333,0.0485617435470902
"241","H6B4_1","UV_0356/0772",13.4481406666667,0.0530138954268913
"251","H6B5_1","UV_0356/0772",15.1044033333333,0.0427318291947977
"261","H7B1_1","UV_0356/0772",12.706047,0.0518526562771859
"271","H7B2_1","UV_0356/0772",14.8610485,0.0623731820616848
"281","H7B3_1","UV_0356/0772",22.694295,0.0471151619226767
"291","N1","UV_0356/0772",27.834189,0.106533303088753
"301","N2","UV_0356/0772",27.976728,0.196152856785213
"311","N3","UV_0356/0772",27.8353576666667,0.0114414654801453
"112","H10B1_2","actin_0113/0114",19.5897693333333,0.0544439454974866
"212","H10B2_1","actin_0113/0114",19.2062503333333,0.0243946964796298
"33","H10B5_1","actin_0113/0114",19.4963753333333,0.0354015511712887
"42","H10B6_1","actin_0113/0114",19.811647,0.0423056115544968
"52","H1B1_2","actin_0113/0114",19.8859,0.0942552078189851
"62","H1B3_3","actin_0113/0114",20.0961846666667,0.0836809396477679
"72","H1B5_2","actin_0113/0114",19.3029876666667,0.0961259441635468
"82","H1B6_2","actin_0113/0114",20.3583286666667,0.0150377348804047
"9","H2B1_3","actin_0113/0114",19.6446756666667,0.044638023100641
"102","H2B2_2","actin_0113/0114",20.5936796666667,0.0374063693284091
"113","H2B3_2","actin_0113/0114",20.376194,0.0881499213442653
"122","H2B4_2","actin_0113/0114",19.527069,0.0547922902605824
"142","H3B1_2","actin_0113/0114",19.6227423333333,0.0459546990669436
"152","H3B2_2","actin_0113/0114",19.646659,0.0606445471662538
"162","H3B3_2","actin_0113/0114",19.7588225,0.0242530554879179
"172","H3B5_2","actin_0113/0114",19.9972043333333,0.0503202985517103
"182","H4B3_3","actin_0113/0114",19.623074,0.0457735765262006
"192","H4B4_2","actin_0113/0114",19.437758,0.0299180840128515
"202","H4B5_2","actin_0113/0114",20.470877,0.119844810530119
"213","H4B6_2","actin_0113/0114",19.6574226666667,0.0394906284747839
"222","H7B4_1","actin_0113/0114",19.418875,0.0703347592659562
"232","H8B1_1","actin_0113/0114",19.3343633333333,0.119183457813293
"242","H8B2_1","actin_0113/0114",19.5255143333333,0.0854964375300705
"252","H8B3_1","actin_0113/0114",20.9214926666667,0.029619184751329
"262","H8B4_1","actin_0113/0114",19.281135,0.0241854793006066
"272","H9B1_1","actin_0113/0114",19.8487875,0.00896257845154058
"282","H9B2_1","actin_0113/0114",19.3865243333333,0.0307651168750143
"292","H9B3_1","actin_0113/0114",20.5059753333333,0.0485687115057979
"302","H9B4_1","actin_0113/0114",20.3882863333333,0.0118128231313836
"312","N4","actin_0113/0114",NA,0
"114","H10B1_2","UV_0356/0772",13.422735,0.0277101005411392
"214","H10B2_1","UV_0356/0772",21.2181566666667,0.103473071749772
"34","H10B5_1","UV_0356/0772",15.8835823333333,0.060060072804929
"43","H10B6_1","UV_0356/0772",14.0228223333333,0.0618165923060577
"53","H1B1_2","UV_0356/0772",24.379006,0.115270070733907
"63","H1B3_3","UV_0356/0772",15.2724653333333,0.0418912488036981
"73","H1B5_2","UV_0356/0772",14.7018996666667,0.125711997885378
"83","H1B6_2","UV_0356/0772",13.493619,0.0130062481523306
"91","H2B1_3","UV_0356/0772",15.4415593333333,0.0490274927906097
"103","H2B2_2","UV_0356/0772",24.5778956666667,0.19214964867606
"115","H2B3_2","UV_0356/0772",14.376613,0.04654787557988
"123","H2B4_2","UV_0356/0772",12.2793206666667,0.045435612159773
"143","H3B1_2","UV_0356/0772",12.9667366666667,0.0327162634531105
"153","H3B2_2","UV_0356/0772",20.659672,0.0271387582619398
"163","H3B3_2","UV_0356/0772",14.905885,0.0392019999489828
"173","H3B5_2","UV_0356/0772",12.9394051666667,0.0626012674718592
