Name,Acq. Date-Time,Type,Injection,Lactic Acid,Alanine,Sarcosine,Valine,Urea,Glycerol,Phosphate,Isoleucine,Proline,Glycine,Succinic Acid,Norleucine,Uracil,Methylmaleic Acid,Fumaric Acid,Serine,Unknown_6_94 ,Pipecolic Acid,Threonine,B-Alanine,3-Amino-2-piperidone,Timonacic Acid,Malic Acid,Erythritol,Threitol,Aspartic Acid,5-Oxoproline,4-Aminobutanoic Acid,Unknown_11_73 ,"2,4-Di-tert-butylphenoxy",Hydroxyproline,Cysteine,Ornithine_1,Glutamic Acid,Phenylalanine,Taurine,"2,8-Dihydroxyquinoline",Asparagine,Unknown_16_62,Putrescine,Acetylglutamic Acid,Glycerol-3-phosphate_1,Glutamine,Phosphorylethanolamine,Ornithine_2,Citric Acid,Fructose,Glucose,Sorbitol,Glucitol,Tyrosine,Myo-Inositol_1,Gluconic Acid,Galactose,Myo-Inositol_2,Glycerol-3-phosphate_2,Adenosine,Glucose-6-phosphate,Inosine,Sucrose,Lactose
B1,2/24/2021 17:37,Sample,1,12737,235532,12751,1725,1518,2875,414795,5079,146762,26250,3820,438838,715,691,1300,4867,1321,2115,1814,8184,559,1373,1433,222,284,73355,47462,43402,388,1305,107,1465,1040,71612,546,26769,2726,225,2925,11137,1281,1446,19258,768,442,5046,26309,20691,739,11248,346,85,266,290,4081,118,50,27,69,5807,92860
B11,2/24/2021 18:14,Sample,2,14963,163516,5799,3356,992,2489,369905,2207,38669,22053,3003,438858,688,1109,1401,2722,1325,5948,979,4197,414,771,689,390,829,39181,25019,32025,360,1249,172,692,1137,38769,509,44541,8463,196,1225,8620,1187,518,7303,431,443,3817,2209,17643,518,5375,465,398,127,328,1337,64,402,150,282,2332,35299
B2,2/24/2021 18:49,Sample,3,11541,139085,3738,1173,200,2173,374720,2328,77829,14338,2537,448666,584,405,690,4149,1039,799,959,3698,320,547,620,80,135,45016,19958,21251,343,1084,144,589,1019,31526,611,15664,5151,87,1217,2598,890,741,6171,386,319,3089,6888,13210,231,4043,295,234,181,251,3121,34,1149,31,87,2797,69810
B12,2/24/2021 19:25,Sample,4,9155,80893,1846,665,219,1760,210288,2195,28036,7562,1486,361279,227,561,917,2356,851,351,567,1708,171,138,386,40,80,16566,9516,14337,290,1078,139,162,652,16308,330,3296,3281,54,414,1821,413,513,2214,205,191,1556,7170,13374,207,3828,300,8,85,254,1155,41,1025,48,26,3461,48253
B3,2/24/2021 20:00,Sample,5,10322,105429,2608,427,400,2483,246157,1716,81301,12208,1935,420564,333,546,742,3123,1180,378,585,3463,272,192,452,60,77,23204,14344,17182,330,1075,154,190,669,27745,330,5704,4437,85,713,2137,370,521,3733,240,312,1988,10359,13391,290,4038,327,48,104,267,1285,29,640,62,29,5689,39488
B13,2/24/2021 20:47,Sample,6,9253,47410,1591,1061,258,1609,88530,1657,44703,4888,870,166071,112,199,485,1452,634,592,542,1445,145,121,212,82,111,9705,7614,7177,292,1004,112,97,386,9062,139,2120,1423,12,470,1121,253,134,2175,36,164,798,4355,3962,145,1923,99,204,11,101,741,10,40,22,5,2104,14038
B4,2/24/2021 21:22,Sample,7,10415,168608,3594,7021,477,4217,257559,4796,167236,25724,3227,386777,373,201,1078,6305,1589,1017,1882,3376,405,735,700,167,186,41804,29718,24807,312,1013,130,702,1217,43683,1048,15468,5842,190,2225,4518,1234,882,11772,375,387,2561,16457,20721,357,6978,2072,410,48,342,2932,93,124,45,101,6567,153119
B14,2/24/2021 21:57,Sample,8,9965,19088,720,259,297,1487,89303,590,3103,2295,310,354469,61,489,341,749,342,70,86,659,,5,87,5,8,1667,2045,1638,241,893,239,18,82,3156,64,275,3834,7,28,799,66,55,185,24,109,497,2546,2903,34,1279,93,9,30,67,163,,336,85,12,4346,15326
B5,2/24/2021 22:32,Sample,9,9433,153391,5277,593,812,2924,298499,2782,137638,14243,3713,423343,369,359,877,2197,1434,365,723,3833,287,605,452,372,294,40424,26127,21425,277,1017,169,658,1186,33278,503,9669,5548,115,1772,1910,1075,787,10052,405,407,3168,13912,12556,356,4512,549,244,25,242,2605,85,161,24,94,2090,89550
B15,2/24/2021 23:08,Sample,10,8881,45907,1228,272,147,1769,69523,1268,26998,4961,885,149655,170,267,407,1382,886,71,380,897,145,109,160,40,40,4941,5283,5824,235,934,89,97,311,6409,64,1069,1642,18,250,421,183,115,1480,62,141,674,3678,5785,115,2279,72,8,14,199,518,6,1142,9,25,3513,25654
