Sample_ID	HH	Replicate	Colonization	"2,8-Dihydroxyquinoline"	Phenylalanine	Cysteine	Glycerol	Ornithine_1	Glutamic Acid	Taurine	Glycine	Succinic Acid	Norleucine	Proline	Lactic Acid	Alanine	Sarcosine	Valine	Urea	Pipecolic Acid	Threonine	B-Alanine	3-Amino-2-piperidone	Timonacic Acid	Malic Acid	Erythritol	Threitol	Aspartic Acid	5-Oxoproline	4-Aminobutanoic Acid	Unknown_11_73	"2,4-Di-tert-butylphenoxy"	Hydroxyproline	Ornithine_2	Citric Acid	Fructose	Glucose	Sorbitol	Glucitol	Asparagine	Unknown_16_62	Putrescine	Acetylglutamic Acid	Glycerol-3-phosphate_1	Glutamine	Phosphorylethanolamine	Glucose-6-phosphate	Inosine	Sucrose	Lactose	Isoleucine	Galactose	Tyrosine	Myo-Inositol_1	Gluconic Acid	Serine	Myo-Inositol_2	Glycerol-3-phosphate_2	Adenosine	Fumaric Acid	Unknown_6_94	Uracil	Phosphate	Methylmaleic Acid
1	4797	1	CL	0.348913094	0.663679781	2.063562403	-0.293430036	-1.115156385	4.170715787	4.534683963	0.957058515	1.603001445	-1.185088121	0.400964011	-0.374431957	0.602031598	3.061759237	-0.383393161	4.633877982	2.063178493	2.946950063	3.299415389	2.892418297	1.979781338	4.127495371	0.65395298	0.396079521	3.016015004	2.605536425	2.072892877	-0.567834554	0.592402505	-0.580800898	0.374419711	2.094265214	0.588636613	-0.548902341	0.573869207	0.87417591	1.51518714	2.50760798	0.02149729	1.506585738	0.778827932	2.533964466	3.284530772	-1.315898106	-0.290259631	-0.429889457	0.181932324	2.149357914	-1.133251407	-0.625983114	-0.634771433	1.82373958	1.080156397	1.511855428	1.630470191	-1.243187186	1.127538372	-0.576405565	2.623369654	3.882615895	2.72667135
2	7083	1	CL	2.346681295	1.13406565	-0.197495821	-0.787137229	-1.077691832	0.720343167	2.459614489	-0.528518802	0.260971506	-0.690866588	-0.503365561	-0.673938811	-0.632771566	-0.448422311	-0.702216575	-0.642205232	0.394689654	0.604953702	0.153134655	0.53520884	-0.153658683	-0.028939262	-0.420073174	-0.309393333	1.290455348	-0.043482229	-0.21597947	-0.834022795	0.118779547	-0.470804945	-0.464679539	0.462009371	-0.819483774	-0.793871299	-0.845835259	-0.627861781	-0.241434974	0.15625473	-0.848335118	0.367057728	-0.702465014	-0.244956095	0.700700798	-1.290102667	-0.078645155	-0.526968097	-0.219206132	-0.121772011	-1.22391514	-0.74598673	0.091586053	0.9074281	0.726425757	0.682202198	-0.954951912	0.7618965	-1.020514102	-0.648820051	1.769176099	3.473667131	1.478454731
3	6177	1	CL	3.880910015	0.689098794	-0.987861152	0.738336113	-0.990550435	1.917053881	1.102471091	0.184942266	0.928665572	3.262905678	0.248848568	1.559511136	-0.21069702	-0.268275054	-1.027209783	1.207968186	0.130994193	0.536272872	1.552075262	1.794239767	-0.818801779	0.540883747	-0.290547382	-0.369971517	0.752599256	0.267303845	0.486345409	0.8708629	1.924980447	-0.198912619	0.980694475	0.548178417	-0.07514863	-0.489847049	-0.152631762	-0.088690922	0.427830846	0.043568473	-0.759842621	-0.637824557	-0.48952206	-0.28958599	0.686348132	-0.946468808	-0.490369866	-0.305859461	-0.357547449	0.251946194	-0.631249326	0.001671028	-0.656968277	0.726840207	1.308106292	-0.435065702	-0.549446972	0.534536275	0.900874809	-0.378103273	1.338190702	3.81693294	3.752158706
4	6702	1	CL	4.007340196	4.844767428	0.58881572	1.812567777	-0.243403234	2.836865852	3.198933081	1.891996539	2.019874776	-0.126041978	1.367750259	-0.044061415	0.371251206	-0.146848695	4.310497633	1.009356389	1.026373197	4.750264531	0.530969056	2.53810633	0.863130825	1.3501087	0.611676902	0.185079714	1.76395864	1.717847443	0.861652107	-0.42155901	0.615653751	-0.424160952	0.834122441	0.549797735	0.222710055	-0.329863256	-0.213193836	0.404178828	1.794852968	2.450974261	-0.523386541	2.53829589	0.113324912	1.668325568	1.291643053	-1.164520361	0.312150589	-0.338877551	2.298828661	3.126228879	-0.638645828	6.722323375	1.403918328	-0.595917811	3.254162382	1.23112186	1.711671999	-1.049810704	1.489778606	-0.350482538	0.754091028	2.49674499	0.72568895
5	3509	1	CL	3.632374416	1.156073188	0.40062634	0.401350686	-0.34863225	1.572716153	1.662283721	-0.105835324	2.65213782	0.525678725	0.798748505	-0.67650141	0.05808503	0.674939872	-0.999428416	2.691476002	-0.084377701	0.380074079	0.903783465	0.873416115	0.381310201	-0.399971365	2.612314312	0.84497775	1.591785916	1.200598615	0.340658734	-0.873322865	0.572011663	-0.304476338	0.968143355	1.19524624	-0.041674288	-0.714549657	-0.238072192	-0.299158094	0.490771467	1.564039696	-0.876586578	1.799188662	-0.194001891	1.139390335	1.507015079	-1.298420843	0.204835837	-0.535424788	0.61035745	0.83847526	-1.072829721	0.486663426	0.398168056	-0.956274714	-0.276062899	0.749954224	1.331115313	-0.971933824	0.456938009	-0.421034989	0.649950209	3.300209305	1.643424938
6	2336	1	CL	1.977667	-0.355295537	0.653985763	-0.760917704	-1.311068157	1.109671473	3.144181771	0.290777667	0.121504381	-1.621165944	-0.227492776	-1.027601862	-0.253110307	0.974723097	-0.307130385	-0.266607415	2.595491608	0.157231015	-0.050928586	0.435306037	1.095029839	-1.502794554	3.430773637	3.791232932	1.279211702	0.802823732	0.009171199	-1.021153113	-0.011884036	-0.304862051	-0.288518335	1.09309352	-0.850781469	-0.552720758	-0.870660791	-0.317060927	-0.518750046	0.554070811	-0.869690387	0.445315775	-1.81633737	0.426635442	1.162180632	-1.327060131	1.04631851	-0.440775649	-0.534026106	-0.911636473	-0.679074574	-1.060444633	-0.449061487	-0.535465362	0.179070964	-1.25082763	-1.433414682	-1.246234031	-1.234469584	-0.215418873	0.581815717	2.382338657	1.162645633
7	4112	1	CL	3.207150417	0.422782341	0.221497271	0.324114739	0.257529033	4.206843766	3.009471188	0.491268728	1.821901763	-1.185088121	3.446452643	-1.255650824	1.231768769	0.319812731	-0.969270237	4.782317244	0.253779251	2.644177451	1.899844393	0.976075054	0.147545623	-0.192094371	1.164195318	0.577128146	4.146891776	2.470869692	1.363535988	-1.489928119	0.006461444	-0.399089911	1.197316485	1.670019355	1.463282318	1.240680623	0.301902417	2.100257831	2.04534101	2.634161016	-0.788821346	1.018454244	1.705755065	2.150214103	0.413828772	-1.220631627	-0.372537287	-0.298008494	3.115908333	3.216704255	0.738846887	-0.475234608	-0.518591989	0.317124903	1.980613084	2.371158191	1.327492896	0.098776893	0.081291937	-0.015952049	0.364412643	1.760969889	0.787870926
8	5260	1	CL	0.963834819	-0.200706818	-0.097542474	-0.503698567	-0.782586233	0.720656274	1.110587191	-0.167829895	0.404582281	-0.690866588	0.135215569	0.008088766	-0.412653938	-0.599344721	-1.084618918	-0.145939569	-0.203621554	0.081333009	-0.222820719	0.688219954	0.028768388	-0.800425567	-0.322221551	-0.245863267	0.282034242	0.131579352	-0.384731909	-1.199652177	0.485655864	-0.109883029	0.216847752	-0.10289756	-0.538097198	-0.74079628	-0.857213267	-0.483446927	0.297600271	0.276245032	-0.624928399	-0.004783266	-0.345526175	-0.012335804	0.09046036	-1.347291522	-0.10166944	-0.04934071	0.032196965	0.833606457	-0.936549069	-0.022983545	0.743269541	-0.543923672	0.572589232	0.154404272	0.181366993	-0.12069528	0.540645867	-0.153310333	0.6451262	1.130407746	1.38426487
9	4123	1	CL	2.341493263	0.50593725	0.600381767	0.726301116	-0.14240117	2.165887083	3.203863867	0.036115869	2.003867625	-1.621165944	1.468218128	-1.078826786	0.160384047	1.470680807	-0.39305958	2.899306608	-0.142663382	0.714636148	0.734393112	1.065508146	0.809314085	-0.754348181	2.40770554	1.40154076	1.752849632	1.99192696	0.694453938	-1.110941224	0.174033707	-0.349435354	0.509583215	0.402981552	-0.324338224	-0.496401523	-0.589154625	0.435076203	1.339731338	3.051834133	-0.820111931	0.814916522	0.678400307	2.490388812	-0.047686459	-1.27049579	2.091324004	-0.507057579	2.03640773	0.865746079	-0.69301428	-0.815798139	0.353267313	-0.267821954	0.043152593	1.504537444	2.317305489	-0.379354146	0.286090671	-0.105521159	0.669848631	2.145429476	0.439487747
10	1763	1	CL	2.613584251	1.388593164	-0.528837498	-0.101796765	-0.882091485	0.421983274	1.02794438	-0.448258394	0.266922772	-0.690866588	-0.550143196	1.086564074	-0.677852957	-0.637351752	-0.2602041	0.927722246	1.446445435	0.658589584	-0.639083718	0.473767989	-0.248774211	-1.134252117	-0.150430557	0.349245461	0.320885667	-0.049490711	-0.184600847	-0.936131957	0.465768316	0.092438706	0.807212124	0.272446501	-1.065464126	-0.625452008	-0.682128547	-0.301973573	-1.281879043	-0.423594292	-0.879651173	-0.004428692	-1.883682651	-0.564330561	0.132299736	-1.140405115	0.667456651	0.711727218	-0.550215974	-0.811073463	-0.407432548	-0.214100601	-0.836418594	-1.10100832	-0.354874741	-1.274711415	-0.831437643	0.929994651	0.290919573	0.012636395	0.372004336	2.040680495	2.969616314
