Sample_ID	Replicate	Injection	Colonization	HH	Propylene glycol	"2,3-Butanediol"	Lactic Acid	"2-Pyrrolidinone, 1-methy"	Alanine	Methylsuccinimide	Sarcosine	3-Pyridinol	Valine	Unknown 4.5703	Urea	Glycerol	Phosphate	Leucine	Isoleucine	Proline	Glycine	Succinic Acid	"Diethylene glycol, n-butyl ether"	Fumaric Acid	Serine	Unknown 6.94	Pipecolic Acid	para-Isopropylbenzoic Acid	Threonine	B-Alanine	3-Aminoisobutyric Acid	Timonacic Acid	Malic Acid	Threitol	Arabinofuranose	Erythritol	Tromethamine	Aspartic Acid	5-Oxoproline	3-Hydroxyproline	4-Aminobutanoic Acid	2-Oxoglutaric Acid	Ornithine	Glutamic Acid	Phenylalanine	Homocysteine	Taurine	"2,8-Dihydroxyquinoline"	Asparagine	Ribitol	Unknown 16.6246	Putrescine	Unknown 17.1507	Glycerol-3-phosphate	Glutamine	Phosphorylethanolamine	Methionine	Citric Acid	Galacto-Hexodialdose	Cadaverine	Unknown 19.5708	Adenine	Fructose	Gluconolactone	Glucose	Unknown 20.7569	Sorbitol	Glucitol	Tyrosine	Myo-inositol_1	Maltose	Altrose	Gluconic Acid	Galactose oxime	Myo-inositol_2	Uric Acid	Adenosine	Inosine	Sucrose	Lactose
1	1	1	CL	4797	0.345516833	-0.49263203	1.042752433	-0.075308915	3.055439842	-0.097834434	6.012175908	-0.430983863	-0.512086482	-0.385845891	3.837426677	0.08613495	4.568120671	0.331794269	0.532760006	1.059576269	1.096171064	4.011061577	0.211119344	3.775333336	1.076562647	-0.585253773	3.679317176	3.988097173	1.488055664	3.236741856	0.577857738	2.194575498	3.843901146	0.691810206	1.707337743	0.806272785	-0.542497038	3.407369328	3.376181583	3.60701629	4.952289214	-0.212387064	0.436435988	2.493882307	-0.430367134	1.948127916	2.19698567	3.732203538	1.50654128	2.51235973	2.92021112	1.437961441	1.316307377	1.164386081	3.990790234	1.952546723	2.285983642	2.826164165	-0.708767684	1.213879964	1.945652081	-0.584046628	0.059514783	0.1471373	-0.744915544	-0.024107564	0.433915343	2.408809446	-0.902981158	-0.608793726	-0.550881842	-0.235167378	0.111163329	-0.553903714	0.282445118	0.892206392	-0.497365352	2.408969988	-0.873554056	-0.949988992
2	1	3	CL	7083	0.17804546	1.539085159	0.601448171	-0.076312483	3.773820808	-0.103885616	1.718331526	-0.478752623	-0.269703385	0.082836052	-0.920020278	0.371812745	4.065075422	0.720646466	0.348923494	0.751347351	0.528324062	2.898191157	0.012620424	2.946132658	3.70107034	-0.148291214	2.751804586	3.336646497	2.161947725	4.201150932	1.496497929	0.830343136	3.894329242	0.133790943	0.45033831	0.34978941	-0.533902867	4.016247057	2.427250891	2.367896229	2.962991937	2.697654102	1.832931198	2.658331922	1.074846624	3.740193076	2.825875125	2.583082581	2.826718386	2.12218346	1.365011429	0.140728967	3.912530063	1.879913622	2.624214522	1.584743247	4.32124969	1.35886073	-0.175019326	0.994786785	4.418140682	-0.582684981	-0.663434295	0.187709988	-0.63075671	1.833971742	0.063537885	-0.034095342	-0.740608366	1.373412285	-0.452209085	-0.086027967	0.243058129	-0.50608392	5.441316375	5.475544563	1.511803182	1.448911511	-0.516963033	0.57779146
3	1	5	CL	6177	-0.525648695	0.847517555	0.344276041	-0.431166027	0.437962275	-0.509620406	-0.677219089	-0.630780449	-1.055894739	-0.624896549	-0.121529039	0.938958661	1.182294091	-0.333468744	-0.58691109	-0.265444348	-0.189302506	0.033117926	-0.669890924	-0.198527747	0.202417764	-0.216858814	0.000767585	0.125268242	-0.368876208	0.271005309	0.005052949	-1.020855022	-0.209271431	-0.545560676	3.082349992	-0.48167984	-0.542097633	-0.048310234	0.106095197	0.205148881	0.260801464	-0.303791118	-0.578823132	-0.741524393	-0.587825882	-0.50855687	2.003074833	2.448384694	0.2895849	0.889622054	-0.166432918	-0.917639675	-0.053881924	-0.409788364	0.297489823	-0.716473399	0.484578609	-1.381129586	-0.512708107	-0.73095745	0.057783254	-0.593585045	0.275709974	0.243974132	0.313787885	2.728971414	0.358677271	3.476121013	-0.765792057	-0.782905902	0.36482879	0.579077687	0.265867808	0.080791276	-0.050075713	-0.740363352	1.323272877	2.090576443	0.848767545	-0.918554885
4	1	7	CL	6702	-0.145765206	-0.006137039	-0.226930875	-0.141742051	-1.270126625	-0.320364893	-0.998154204	-0.664627809	1.006629749	-0.145330563	-0.553505434	0.18532731	-0.560951748	1.449976607	0.318072271	-0.528142371	0.107811788	-1.177889666	-0.382263831	-1.530842321	0.703402297	-1.065446201	0.438604802	-0.068420968	1.223497341	-1.125778168	-0.017362119	-1.111473432	-1.246755911	-0.367175228	1.843196688	-0.189106386	-0.5407636	-0.717369593	-0.056282791	0.260497871	-0.293890972	-1.292043582	-0.737534116	-0.319945955	0.803407354	-0.60889406	0.491519151	2.38854928	0.204588325	-0.731669564	-0.450771913	-0.800330654	-0.245436995	-0.176964559	-0.23162287	-0.433598403	-0.086256913	-1.103368772	-0.339275037	-0.508979276	-0.472074417	-0.584445609	-0.233333074	-0.375013507	-0.349343579	2.744580907	-0.215343746	-0.386513706	1.64982021	0.447401255	-0.282793969	-0.216909954	-0.378528069	-0.316879507	-0.184514965	-1.077046136	2.585777459	-1.216132681	0.867880134	0.316299446
5	1	9	CL	3509	-0.061309353	0.360748848	8.657442166	-0.021383785	0.296295221	-0.146782926	2.521850486	-0.191420474	-0.873821544	1.763376001	5.378558448	0.571393025	2.587583644	-0.378857043	0.079164465	1.657208349	1.512055681	1.860536387	0.287424203	2.145245027	1.828001364	-0.785882823	0.704253807	5.260081035	0.074745146	2.141443735	2.416703788	1.039733434	3.17513872	2.435932398	-0.28909074	0.553444048	-0.54052523	1.929151336	1.424457711	4.366568133	1.396559657	2.481693526	0.772004588	2.339688049	0.176670769	2.805854021	0.719209274	1.3193518	0.957102374	-0.148310657	0.816616716	0.61539149	2.07574116	2.315550254	1.403515258	2.474031874	3.337214733	1.184837768	-0.559095973	1.148792195	3.222757758	4.118508744	-0.139796626	-0.45074993	-0.672101936	0.907062848	0.069939004	0.692787069	-0.225982866	0.166536012	-0.482430434	-0.135087937	-0.394361567	-0.5001129	-0.045559007	0.42801411	0.504665867	0.230245922	-0.081928377	0.474209974
6	1	11	CL	2336	0.737503858	1.385687248	0.324024127	0.663961006	-0.111301971	0.312043453	3.518494962	-0.72446993	-0.706948935	-0.451682828	-0.976528716	0.546396577	2.710098472	-1.048195548	-1.395237278	0.747681028	0.534930546	0.390615995	0.633617584	1.944863878	0.215158835	-0.299725238	4.967939795	3.470207328	-0.711384808	0.103595507	2.86574706	-0.329724218	2.014909443	6.555790463	-0.364430951	7.678236607	-0.515064085	0.149419656	-0.424271554	0.988405308	0.725821944	-1.319295492	-0.402862562	0.130051194	-0.842540964	1.199129139	3.891804556	1.702729481	-1.224447299	0.273223606	-0.818760213	0.155166234	1.195884116	-0.683746055	-0.58757553	1.03592611	1.357338257	-0.691817331	-0.748314315	-0.345783753	1.440256985	-0.592943041	-0.795260029	-0.634558921	-0.378529166	2.840933704	1.070559979	0.060484837	-1.12997979	-0.359260791	-0.283577399	-0.218653096	-0.505092329	-0.309174658	-0.557278306	-0.135405825	-0.703738512	-0.781625286	-0.849382666	1.198850107
7	1	13	CL	4112	-1.171077035	-1.33036761	0.533866052	-1.054218574	1.493726108	-1.114055525	-0.300757078	-0.661223567	-0.927965897	0.300885935	3.165179673	0.123883714	3.514707698	0.092361843	1.130947737	0.776385239	-0.641608481	-0.537013821	-0.96972075	-0.175273737	0.366192819	1.993806029	0.286317213	-0.595532841	0.738420096	0.930681447	1.350736831	1.12234055	0.25328385	0.385077593	1.747475559	-0.212534363	-0.53553679	-0.584471581	1.061383236	2.170435572	0.445274897	1.227226147	0.231841943	1.008433982	-0.269329199	0.401476329	5.233310367	0.79729924	0.810907628	0.223529077	0.78615274	-0.70309221	1.840210702	0.531132009	1.255257486	-0.838250971	1.89228248	-1.603783306	0.258496982	-0.52558206	1.642593846	-0.596854192	2.828668415	2.243878054	3.151565645	4.355398484	0.567495146	5.225625072	-0.666878766	-0.795152787	5.58654762	3.786558857	2.266142254	5.942625169	0.173339861	-0.063586886	1.397989921	4.205471581	1.202966953	0.802884275
8	1	15	CL	5260	-0.158265339	-0.807138772	0.339150341	-0.050352604	-0.583992049	-0.144931723	-0.817393057	-0.383245972	-1.120453694	-0.035175498	-1.046251473	-0.116849213	-0.046877926	-0.6887131	-0.487964897	-0.298289559	-0.930431736	-0.071177496	0.129853899	-0.65004622	-0.362292159	-0.297434675	-0.380353431	2.653803198	-1.170768969	-0.876019963	0.90695359	-0.288340839	-0.381045571	-0.914416422	-0.506035085	-0.746605455	3.367982488	-1.487771253	-0.413898157	0.080181964	-1.267583871	1.418461254	-0.310218046	-0.578476719	-1.297976606	-0.313469305	0.88014233	0.577783579	-1.120010311	-0.961368797	-0.242975617	-0.859553948	-0.10816763	0.290633459	-0.415145942	-0.787992204	-0.021962475	-1.273870375	-0.549147907	-0.6162775	0.071200521	-0.591219945	-0.95646335	-0.634539612	-0.876718572	0.312246128	-0.283544286	-0.554167825	-0.696145337	0.255041391	-0.68160143	-0.713808182	-0.57640131	-0.558908422	0.389159403	-0.832925831	1.367529117	-0.105132282	1.00933589	-0.194678511
9	1	17	CL	4123	-0.765082702	1.257855238	0.628311055	-0.825122784	0.020263863	-0.833009716	2.747729446	-0.370351461	-0.487657155	0.892602741	2.195265585	-0.106570021	1.533343038	-0.115621602	-0.082720273	0.856143878	-0.401612647	0.478605588	-0.518847634	0.82954465	0.28075613	-0.418975422	-0.005764347	2.391664789	0.139529474	0.892961495	1.998961216	0.513414553	0.908356516	1.5202978	0.78181265	0.357687368	3.848622871	1.488032122	2.435980598	4.039696469	0.753858983	0.623173641	1.280699613	0.869835445	-0.144499946	1.847356623	0.864384643	2.09854595	0.987429338	-0.114675696	2.942039744	-0.027891909	2.578887383	1.661403144	2.982669102	-0.304538781	2.363516575	-0.392062139	-0.313790993	1.336028891	2.059817389	1.550543994	-0.748368977	-0.629854689	-0.915798848	0.389102741	-0.161728774	-0.50505907	-0.933280106	-0.019858912	-0.742882416	-0.651874444	-0.560655376	-0.577364082	-0.776214797	0.535503209	0.022349098	0.261854948	-0.945051468	1.506750172
10	1	19	CL	1763	-1.125941759	-0.322580192	-0.063258914	-1.022143985	-0.209924357	-1.092587605	-0.790387196	-0.916445493	-0.95070195	-0.610257791	-1.082973368	0.072275573	-0.207220142	-1.086276028	-1.614597861	-0.672342482	-1.810848753	2.383673695	-0.961576045	0.787224284	-1.846564311	0.75200411	1.29357726	-0.176764879	-1.445064613	-1.691209273	-1.455276547	-1.017512397	-0.192762519	-0.54125957	-0.327988912	-0.292537735	3.310837263	-1.083406828	-1.409719767	-1.386766734	0.496993237	-1.575388619	-0.743526722	-1.230576176	-1.276208423	-0.720971388	1.210267957	1.546762112	-1.612202264	-0.973908105	-1.642656025	-0.998345579	-0.986630156	0.248281163	-1.610312949	-0.629982319	-0.604016719	-1.790299599	-0.675909968	-1.002850268	-0.823009169	0.462157427	-1.210935612	-0.622735408	-0.905958475	1.639828139	-0.237921965	-0.873591716	-1.222467576	-0.948384321	-0.713915467	-0.785876429	-0.59334557	-0.541076826	-1.300595438	0.499566543	0.970152853	-0.675620582	-0.917312267	-0.38387332
