Sample	Sample_ID	Treatment	Region	Batch
01	H1B1_6	MD	OL	1
02	H1B1_6	MD	MB	1
03	H1B1_6	MD	AL	1
04	H1B3_5	CL_Bifi	OL	1
05	H1B3_5	CL_Bifi	MB	1
06	H1B3_5	CL_Bifi	AL	1
07	H1B5_3	CL_13	OL	1
08	H1B5_3	CL_13	MB	1
09	H1B5_3	CL_13	AL	1
10	H1B6_4	CL	OL	1
11	H1B6_4	CL	MB	1
12	H1B6_4	CL	AL	1
13	H2B1_4	CL_Bifi	OL	2
14	H2B1_4	CL_Bifi	MB	2
15	H2B1_4	CL_Bifi	AL	2
16	H2B3_3	CL	OL	2
17	H2B3_3	CL	MB	2
18	H2B3_3	CL	AL	2
19	H2B4_3	CL_13	OL	2
20	H2B4_3	CL_13	MB	2
21	H2B4_3	CL_13	AL	2
22	H2B5_1	MD	OL	2
23	H2B5_1	MD	MB	2
24	H2B5_1	MD	AL	2
25	H3B1_3	CL	OL	3
26	H3B1_3	CL	MB	3
27	H3B1_3	CL	AL	3
28	H3B3_4	CL_Bifi	OL	3
29	H3B3_4	CL_Bifi	MB	3
30	H3B3_4	CL_Bifi	AL	3
31	H3B5_2	CL_13	OL	11
32	H3B5_2	CL_13	MB	11
33	H3B5_2	CL_13	AL	11
34	H3B6_2	MD	OL	3
35	H3B6_2	MD	MB	3
36	H3B6_2	MD	AL	3
37	H4B3_4	CL_13	OL	4
38	H4B3_4	CL_13	MB	4
39	H4B3_4	CL_13	AL	4
40	H4B4_7	MD	OL	4
41	H4B4_7	MD	MB	4
42	H4B4_7	MD	AL	4
43	H4B5_2	CL_Bifi	OL	11
44	H4B5_2	CL_Bifi	MB	11
45	H4B5_2	CL_Bifi	AL	11
46	H4B6_2	CL	OL	11
47	H4B6_2	CL	MB	11
48	H4B6_2	CL	AL	11
49	H5B1_3	CL_13	OL	5
50	H5B1_3	CL_13	MB	5
51	H5B1_3	CL_13	AL	5
52	H5B2_3	CL_Bifi	OL	5
53	H5B2_3	CL_Bifi	MB	5
54	H5B2_3	CL_Bifi	AL	5
55	H5B4_4	CL	OL	5
56	H5B4_4	CL	MB	5
57	H5B4_4	CL	AL	5
58	H5B5_6	MD	OL	5
59	H5B5_6	MD	MB	5
60	H5B5_6	MD	AL	5
61	H6B2_5	CL_13	OL	6
62	H6B2_5	CL_13	MB	6
63	H6B2_5	CL_13	AL	6
64	H6B4_3	CL	OL	6
65	H6B4_3	CL	MB	6
66	H6B4_3	CL	AL	6
67	H6B5_4	CL_Bifi	OL	6
68	H6B5_4	CL_Bifi	MB	6
69	H6B5_4	CL_Bifi	AL	6
70	H6B6_2	MD	OL	6
71	H6B6_2	MD	MB	6
72	H6B6_2	MD	AL	6
73	H7B1_3	CL_13	OL	7
74	H7B1_3	CL_13	MB	7
75	H7B1_3	CL_13	AL	7
76	H7B2_3	CL	OL	7
77	H7B2_3	CL	MB	7
78	H7B2_3	CL	AL	7
79	H7B3_4	MD	OL	7
80	H7B3_4	MD	MB	7
81	H7B3_4	MD	AL	7
83	H7B4_9	CL_Bifi	MB	7
84	H7B4_9	CL_Bifi	AL	7
85	H8B5_3	MD	OL	11
86	H8B5_3	MD	MB	11
87	H8B5_3	MD	AL	11
88	H8B1_3	CL_Bifi	OL	8
89	H8B1_3	CL_Bifi	MB	8
90	H8B1_3	CL_Bifi	AL	8
91	H8B2_3	CL	OL	8
92	H8B2_3	CL	MB	8
93	H8B2_3	CL	AL	8
94	H8B3_3	CL_13	OL	8
95	H8B3_3	CL_13	MB	8
96	H8B3_3	CL_13	AL	8
97	H9B1_3	CL_13	OL	9
98	H9B1_3	CL_13	MB	9
99	H9B1_3	CL_13	AL	9
100	H9B3_5	CL	OL	9
101	H9B3_5	CL	MB	9
102	H9B3_5	CL	AL	9
103	H9B4_7	CL_Bifi	OL	9
104	H9B4_7	CL_Bifi	MB	9
105	H9B4_7	CL_Bifi	AL	9
109	H10B1_6	CL	OL	10
110	H10B1_6	CL	MB	10
111	H10B1_6	CL	AL	10
112	H10B2_4	MD	OL	10
113	H10B2_4	MD	MB	10
114	H10B2_4	MD	AL	10
115	H10B5_5	CL_Bifi	OL	10
116	H10B5_5	CL_Bifi	MB	10
117	H10B5_5	CL_Bifi	AL	10
118	H10B6_3	CL_13	OL	10
119	H10B6_3	CL_13	MB	10
120	H10B6_3	CL_13	AL	10
