Sample_ID	Treatment	Hive	Bee_ID	Batch
Gut_1	CL_Bifi	H1	H1B3_5	1
Gut_2	CL_13	H1	H1B5_3	1
Gut_3	CL	H1	H1B6_4	1
Gut_4	MD	H1	H1B1_6	1
Gut_37	CL_Bifi	H10	H10B5_5	10
Gut_38	CL_13	H10	H10B6_3	10
Gut_39	CL	H10	H10B1_6	10
Gut_5	CL_Bifi	H2	H2B1_4	2
Gut_6	CL_13	H2	H2B4_3	2
Gut_7	CL	H2	H2B3_3	2
Gut_8	MD	H2	H2B5_1	2
Gut_9	CL_Bifi	H3	H3B3_4	3
Gut_10	CL_13	H3	H3B5_2	11
Gut_11	CL	H3	H3B1_3	3
Gut_12	MD	H3	H3B6_2	3
Gut_13	CL_Bifi	H4	H4B5_2	11
Gut_14	CL_13	H4	H4B3_4	4
Gut_15	CL	H4	H4B6_2	11
Gut_16	MD	H4	H4B4_7	4
Gut_17	CL_Bifi	H5	H5B2_3	5
Gut_18	CL_13	H5	H5B1_3	5
Gut_19	CL	H5	H5B4_4	5
Gut_20	MD	H5	H5B5_6	5
Gut_21	CL_Bifi	H6	H6B5_4	6
Gut_22	CL_13	H6	H6B2_5	6
Gut_23	CL	H6	H6B4_3	6
Gut_24	MD	H6	H6B6_2	6
Gut_25	CL_Bifi	H7	H7B4_9	7
Gut_26	CL_13	H7	H7B1_3	7
Gut_27	CL	H7	H7B2_3	11
Gut_28	MD	H7	H7B3_4	7
Gut_29	CL_Bifi	H8	H8B1_3	8
Gut_30	CL_13	H8	H8B3_3	8
Gut_31	CL	H8	H8B2_3	8
Gut_32	MD	H8	H8B5_3	11
Gut_33	CL_Bifi	H9	H9B4_7	9
Gut_34	CL_13	H9	H9B1_3	9
Gut_35	CL	H9	H9B3_5	11
